illness_name,complication,sickness
粗制棉子油中毒,Treatment_of_department,睾丸炎
枢椎齿突骨折,Treatment_of_department,骨折
氯喹中毒,Treatment_of_department,休克
氯喹中毒,Treatment_of_department,耳聋
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,新生儿喉喘鸣
猛兽伤,Treatment_of_department,蝎子螫伤
猛兽伤,Treatment_of_department,毒蛇咬伤
猛兽伤,Treatment_of_department,副鼻窦炎
小儿出血性休克和脑病综合征,Treatment_of_department,弥漫性血管内凝血
小儿触电与雷击,Treatment_of_department,电烧伤
小儿触电与雷击,Treatment_of_department,肾衰
胎肥,Treatment_of_department,双胎输血综合征
胎肥,Treatment_of_department,巨大胎儿
胎肥,Treatment_of_department,葡萄胎
婴儿肉毒中毒综合征,Treatment_of_department,婴儿猝死综合征
杜波组织胞浆菌病,Treatment_of_department,贫血
小儿水杨酸盐类中毒,Treatment_of_department,血尿
小儿水杨酸盐类中毒,Treatment_of_department,尿毒症
小儿水杨酸盐类中毒,Treatment_of_department,黄疸
小儿片吸虫病,Treatment_of_department,黄疸
小儿片吸虫病,Treatment_of_department,肝硬化
小儿片吸虫病,Treatment_of_department,贫血
溶组织内阿米巴病,Treatment_of_department,肠炎
湄公血吸虫病,Treatment_of_department,阑尾炎
湄公血吸虫病,Treatment_of_department,结肠癌
致肠细胞病变人孤儿病毒感染,Treatment_of_department,肠胃炎
致肠细胞病变人孤儿病毒感染,Treatment_of_department,心肌炎
棘阿米巴性巩膜炎,Treatment_of_department,葡萄膜炎
棉子中毒,Treatment_of_department,休克
立氏立克次体斑疹热,Treatment_of_department,休克
战壕热,Treatment_of_department,气腹痛
走哺,Treatment_of_department,胃寒呕吐
走哺,Treatment_of_department,脑血管瘤
走哺,Treatment_of_department,孕吐
疫黄,Treatment_of_department,发作性睡病
疫黄,Treatment_of_department,副鼻窦炎
疫黄,Treatment_of_department,脑囊虫病
肉痹,Treatment_of_department,痹证
肉痹,Treatment_of_department,球麻痹
肉痹,Treatment_of_department,筋痹
天柱倒,Treatment_of_department,皮肤发育不良
天柱倒,Treatment_of_department,男性青春期发育延迟
天柱倒,Treatment_of_department,脑血管瘤
暑瘵,Treatment_of_department,肺热咳嗽
暑瘵,Treatment_of_department,慢性咳嗽
暑瘵,Treatment_of_department,脑囊虫病
六瘤,Treatment_of_department,脑血管瘤
六瘤,Treatment_of_department,畸胎瘤
六瘤,Treatment_of_department,发作性睡病
振栗,Treatment_of_department,冷抗体型自身免疫性溶血性贫血
振栗,Treatment_of_department,阵发性冷性血红蛋白尿
振栗,Treatment_of_department,非冻结性冷伤
肢骨纹状肥大,Treatment_of_department,足舟骨骨折
肢骨纹状肥大,Treatment_of_department,足跟瘀斑
肢骨纹状肥大,Treatment_of_department,足穿通性损害
肝性胸腔积液,Treatment_of_department,贫血
肝性胸腔积液,Treatment_of_department,肺水肿
吐失,Treatment_of_department,脑血管瘤
吐失,Treatment_of_department,孕吐
吐失,Treatment_of_department,副鼻窦炎
小儿发育性髋脱位,Treatment_of_department,骨折
耻骨结核,Treatment_of_department,肿胀
脐尿管囊肿及脐尿管瘘,Treatment_of_department,蜂窝织炎
腕关节结核,Treatment_of_department,肿胀
肠伤寒穿孔,Treatment_of_department,脓毒症和菌血症
小螺菌感染,Treatment_of_department,淋巴管炎
小螺菌感染,Treatment_of_department,淋巴结炎
二尖瓣和主动脉瓣的疾患,Treatment_of_department,肺动脉高压
瘴疟,Treatment_of_department,疟疾肾病
瘴疟,Treatment_of_department,副鼻窦炎
瘴疟,Treatment_of_department,肺疟疾病
鄂木斯克出血热,Treatment_of_department,肺炎
鄂木斯克出血热,Treatment_of_department,肾病
脊椎外伤,Treatment_of_department,幼年型关节强硬性脊椎炎
脊椎外伤,Treatment_of_department,脊椎化脓性骨髓炎
脊椎外伤,Treatment_of_department,脑囊虫病
荚膜组织胞浆菌病,Treatment_of_department,肺炎
骨包囊虫病,Treatment_of_department,瘫痪
肾盏积水,Treatment_of_department,肾萎缩
肾盏积水,Treatment_of_department,肾盂肾炎
西方马型脑炎,Treatment_of_department,休克
急性感染性心内膜炎,Treatment_of_department,心力衰竭
急性感染性心内膜炎,Treatment_of_department,感染性心内膜炎
急性感染性心内膜炎,Treatment_of_department,心内膜炎
椎弓结核,Treatment_of_department,动脉瘤样骨囊肿
椎弓结核,Treatment_of_department,脊髓肿瘤
椎弓结核,Treatment_of_department,神经纤维瘤
巨吻棘头虫病,Treatment_of_department,肠梗阻
小儿埃可及柯萨奇病毒感染,Treatment_of_department,猝死
小儿埃可及柯萨奇病毒感染,Treatment_of_department,充血性心力衰竭
小儿埃可及柯萨奇病毒感染,Treatment_of_department,缩窄性心包炎
透明丝孢霉病,Treatment_of_department,脓毒症和菌血症
小儿其他沙门菌感染,Treatment_of_department,肠梗阻
小儿其他沙门菌感染,Treatment_of_department,急性出血性坏死性小肠炎
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,黄疸
小儿丁型病毒性肝炎,Treatment_of_department,慢性肝炎
异尖线吸虫蚴移行症,Treatment_of_department,蜂窝织炎
异尖线吸虫蚴移行症,Treatment_of_department,急性弥漫性腹膜炎
小儿埃博拉病毒病,Treatment_of_department,低血压
小儿埃博拉病毒病,Treatment_of_department,休克
小儿埃博拉病毒病,Treatment_of_department,睾丸炎
脱阳,Treatment_of_department,盆腔炎症性不孕症
脱阳,Treatment_of_department,脑血管瘤
脱阳,Treatment_of_department,黄体功能不全性不孕
生殖道肿瘤,Treatment_of_department,生殖道肿瘤皮肤转移
男科外伤,Treatment_of_department,发作性睡病
男科外伤,Treatment_of_department,副鼻窦炎
男科外伤,Treatment_of_department,阴茎阴囊象皮肿
睾丸女性化,Treatment_of_department,小阴茎
嵌顿包茎,Treatment_of_department,发作性睡病
嵌顿包茎,Treatment_of_department,副鼻窦炎
嵌顿包茎,Treatment_of_department,新生儿泪囊炎
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,胃癌
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,老年人前列腺增生症
男性青春期发育延迟,Treatment_of_department,成人全垂体功能减退
阴茎阴囊象皮肿,Treatment_of_department,鞘膜积液
阴茎折断,Treatment_of_department,尿道损伤
先天性无阴道,Treatment_of_department,闭经溢乳综合征
无精症,Treatment_of_department,男性不育
前庭大腺炎,Treatment_of_department,直肠子宫内膜异位症
前庭大腺炎,Treatment_of_department,直肠阴道瘘
前庭大腺炎,Treatment_of_department,直肠脱垂
染色体异常,Treatment_of_department,小儿常染色体显性小脑性共济失调
染色体异常,Treatment_of_department,痴呆
少精症,Treatment_of_department,男性不育
非性病性梅毒,Treatment_of_department,鼻咽炎
处女膜闭锁,Treatment_of_department,便秘
处女膜闭锁,Treatment_of_department,肛门异位
真两性畸形,Treatment_of_department,隐睾
真两性畸形,Treatment_of_department,腹股沟疝
子宫脱垂,Treatment_of_department,子宫脱垂
子宫脱垂,Treatment_of_department,流产
子宫脱垂,Treatment_of_department,卵巢早衰
精囊囊肿,Treatment_of_department,真两性畸形
男性生殖器外伤,Treatment_of_department,阴茎异常勃起
男性生殖器外伤,Treatment_of_department,血管损伤
男性假两性畸形,Treatment_of_department,隐睾
死精症,Treatment_of_department,男性不育
阴道横隔,Treatment_of_department,流产
阴道横隔,Treatment_of_department,阴道壁息肉
前列腺囊肿,Treatment_of_department,肾发育不全
先天性睾丸发育不全,Treatment_of_department,斜颈
先天性睾丸发育不全,Treatment_of_department,隐睾
双阴茎,Treatment_of_department,尿道下裂
双阴茎,Treatment_of_department,膀胱外翻
膀胱尿道异物,Treatment_of_department,腹膜炎
睾丸损伤,Treatment_of_department,睾丸炎
无排卵性不孕症,Treatment_of_department,发作性睡病
无排卵性不孕症,Treatment_of_department,月经不调
无排卵性不孕症,Treatment_of_department,新生儿泪囊炎
阴茎扭转,Treatment_of_department,尿道下裂
子宫畸形,Treatment_of_department,原发性痛经
子宫畸形,Treatment_of_department,痛经
子宫畸形,Treatment_of_department,流产
输卵管炎,Treatment_of_department,出血性输卵管炎
输卵管炎,Treatment_of_department,慢性输卵管炎
输卵管炎,Treatment_of_department,急性输卵管炎
阴囊损伤,Treatment_of_department,脓毒症和菌血症
两性畸形,Treatment_of_department,非肾上腺素增生性假两性畸形
两性畸形,Treatment_of_department,男性假两性畸形
两性畸形,Treatment_of_department,真两性畸形
输卵管性不孕,Treatment_of_department,盆腔炎症性不孕症
输卵管性不孕,Treatment_of_department,发作性睡病
输卵管性不孕,Treatment_of_department,不孕症
霉菌性龟头炎,Treatment_of_department,龟头炎
霉菌性龟头炎,Treatment_of_department,男性不育
霉菌性龟头炎,Treatment_of_department,肾盂肾炎
阴茎离断伤,Treatment_of_department,尿道狭窄
蹼状阴茎,Treatment_of_department,膀胱外翻
输卵管结核,Treatment_of_department,结核性腹膜炎
输卵管结核,Treatment_of_department,肠梗阻
输卵管结核,Treatment_of_department,不孕症
多睾症,Treatment_of_department,腹股沟斜疝
附睾畸形,Treatment_of_department,鞘膜积液
小儿戊型病毒性肝炎,Treatment_of_department,慢性肝炎
小儿戊型病毒性肝炎,Treatment_of_department,腹膜炎
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,慢性肝炎
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,高血压
小儿丙型病毒性肝炎,Treatment_of_department,肝硬化
等孢球虫病,Treatment_of_department,慢性腹泻
集聚肠杆菌感染,Treatment_of_department,休克
集聚肠杆菌感染,Treatment_of_department,心肌炎
集聚肠杆菌感染,Treatment_of_department,肝炎
锑中毒,Treatment_of_department,肝炎
卫氏并殖吸虫病,Treatment_of_department,肺气肿
卫氏并殖吸虫病,Treatment_of_department,支气管炎
前臂动脉损伤,Treatment_of_department,雷诺综合征
敌鼠中毒,Treatment_of_department,鼻出血
敌鼠中毒,Treatment_of_department,血尿
敌鼠中毒,Treatment_of_department,脑出血
新生儿休克,Treatment_of_department,代谢性酸中毒
片吸虫病,Treatment_of_department,侏儒症
片吸虫病,Treatment_of_department,贫血
片吸虫病,Treatment_of_department,慢性胃炎
肝炎双重感染,Treatment_of_department,肝癌
肝炎双重感染,Treatment_of_department,肝硬化
肝瘟,Treatment_of_department,肝炎后综合征
肝瘟,Treatment_of_department,慢性肝炎
肝瘟,Treatment_of_department,老年人病毒性肝炎
胫骨后唇骨折,Treatment_of_department,胫腓下联合前部分离
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,脑积水
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,颅内高压综合征
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,脑脓肿
颈椎单侧及双侧小关节脱位,Treatment_of_department,骨折
新生儿乙型肝炎,Treatment_of_department,肝硬化
新生儿乙型肝炎,Treatment_of_department,肝性脑病
桡骨远端骨骺分离,Treatment_of_department,桡骨远端骨折
真菌中毒症,Treatment_of_department,神经型食物中毒
肝炎后综合征,Treatment_of_department,腹腔脓肿
肝炎后综合征,Treatment_of_department,膈下脓肿
丁肝,Treatment_of_department,肝硬化
肝结核,Treatment_of_department,结核性腹膜炎
肝结核,Treatment_of_department,黄疸
肝结核,Treatment_of_department,肝炎
急性乙肝,Treatment_of_department,肝肾综合征
急性乙肝,Treatment_of_department,肝性脑病
铜中毒引起的溶血性贫血,Treatment_of_department,黄疸
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,肾小球肾炎
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,慢性肝炎
肝炎,Treatment_of_department,发作性睡病
肝炎,Treatment_of_department,病毒性肝炎
肝炎,Treatment_of_department,副鼻窦炎
新生儿肝炎,Treatment_of_department,小儿肝性脑病
金黄色葡萄球菌脑膜炎,Treatment_of_department,脑脓肿
铅中毒引起的溶血性贫血,Treatment_of_department,贫血
铍中毒,Treatment_of_department,支气管炎
铍中毒,Treatment_of_department,肺炎
铍中毒,Treatment_of_department,接触性皮炎
丙肝,Treatment_of_department,肝硬化
小儿一氧化碳中毒,Treatment_of_department,一氧化碳中毒后迟发性脑病
小儿一氧化碳中毒,Treatment_of_department,痴呆
小儿一氧化碳中毒,Treatment_of_department,癫痫
病毒性肝炎,Treatment_of_department,糖尿病
病毒性肝炎,Treatment_of_department,脂肪肝
病毒性肝炎,Treatment_of_department,再生障碍性贫血
甲肝,Treatment_of_department,肝硬化
登革出血热,Treatment_of_department,心肌炎
登革出血热,Treatment_of_department,尿毒症
烧伤脓毒症,Treatment_of_department,休克
颈椎椎体楔形压缩骨折,Treatment_of_department,脊神经根炎
创伤性肩关节后脱位,Treatment_of_department,骨折
创伤性肩关节后脱位,Treatment_of_department,血管损伤
复孔绦虫病,Treatment_of_department,拉肚子
复孔绦虫病,Treatment_of_department,贫血
持续性枕横位难产,Treatment_of_department,产后出血
持续性枕横位难产,Treatment_of_department,失血性休克
肩胛颈及肩胛盂骨折,Treatment_of_department,骨折
小肠扭转,Treatment_of_department,休克
螺菌病,Treatment_of_department,心内膜炎
螺菌病,Treatment_of_department,脑膜炎
螺菌病,Treatment_of_department,心肌炎
出血性休克和脑病综合征,Treatment_of_department,代谢性酸中毒
溴氯菊酯中毒,Treatment_of_department,心血管疾病伴发的精神障碍
溴氯菊酯中毒,Treatment_of_department,老年人先天性心血管疾病
溴氯菊酯中毒,Treatment_of_department,绝经与心血管疾病
颠茄碱类植物药物中毒,Treatment_of_department,休克
千足虫灼伤,Treatment_of_department,脓毒症和菌血症
小儿急性呼吸衰竭,Treatment_of_department,肺水肿
小儿急性呼吸衰竭,Treatment_of_department,肺损伤
小儿急性呼吸衰竭,Treatment_of_department,肺不张
非洲锥虫病,Treatment_of_department,癫痫
非洲锥虫病,Treatment_of_department,心力衰竭
非洲锥虫病,Treatment_of_department,营养不良
创伤性肩关节前脱位,Treatment_of_department,骨折
创伤性肩关节前脱位,Treatment_of_department,血管损伤
外伤后脑膨出,Treatment_of_department,化脓性脑膜炎
外伤后脑膨出,Treatment_of_department,脑室炎
外伤后脑膨出,Treatment_of_department,脑脓肿
士的宁中毒,Treatment_of_department,手足发绀症
新疆出血热,Treatment_of_department,高血压
新疆出血热,Treatment_of_department,低血糖症
小儿肺炎链球菌脑膜炎,Treatment_of_department,脑积水
小儿肺炎链球菌脑膜炎,Treatment_of_department,脑梗死
小儿肺炎链球菌脑膜炎,Treatment_of_department,脑疝
羊膜腔感染综合征,Treatment_of_department,休克
羊膜腔感染综合征,Treatment_of_department,弥漫性血管内凝血
高原适应不全症,Treatment_of_department,急性高原病
高原适应不全症,Treatment_of_department,高原红细胞增多症
强碱类中毒,Treatment_of_department,肺炎
强碱类中毒,Treatment_of_department,胸膜炎
强碱类中毒,Treatment_of_department,心包炎
颈部开放性损伤,Treatment_of_department,动脉瘤
距骨骨折脱位,Treatment_of_department,创伤性关节炎
小儿砷中毒,Treatment_of_department,脱水
小儿砷中毒,Treatment_of_department,休克
小儿砷中毒,Treatment_of_department,心肌炎
腹壁挫伤,Treatment_of_department,高钾血症
链杆菌病,Treatment_of_department,心内膜炎
链杆菌病,Treatment_of_department,心包炎
链杆菌病,Treatment_of_department,支气管肺炎
水合氯醛中毒,Treatment_of_department,行军性血红蛋白尿
水合氯醛中毒,Treatment_of_department,血尿
其他弧菌感染,Treatment_of_department,肺水肿
农药中毒性肾病,Treatment_of_department,多系统器官功能衰竭
中毒性紫癜,Treatment_of_department,溶血性贫血
骨产道异常性难产,Treatment_of_department,子宫收缩乏力
腹部大血管损伤,Treatment_of_department,休克
肱骨上端骨骺分离,Treatment_of_department,缺血性坏死
流感嗜血杆菌脑膜炎,Treatment_of_department,脑脓肿
流感嗜血杆菌脑膜炎,Treatment_of_department,脑积水
酚类中毒,Treatment_of_department,低血压
肺毛霉病,Treatment_of_department,糖尿病
肺毛霉病,Treatment_of_department,代谢性酸中毒
肺毛霉病,Treatment_of_department,心肌梗塞
外伤性腹膜后出血或血肿,Treatment_of_department,休克
小儿中毒型痢疾,Treatment_of_department,弥散性血管内凝血
小儿中毒型痢疾,Treatment_of_department,溶血尿毒综合征
可拉明中毒,Treatment_of_department,药物性呼吸衰竭
灭虫灵中毒,Treatment_of_department,拟除虫菊类农药中毒
灭虫灵中毒,Treatment_of_department,农药中毒性肾病
多房棘球蚴病,Treatment_of_department,功能性消化不良
椎体严重楔形变并伴小关节半脱位,Treatment_of_department,骨折
免疫抑制药和抗癌药中毒性肾病,Treatment_of_department,脱发
免疫抑制药和抗癌药中毒性肾病,Treatment_of_department,肾衰
小儿洋地黄中毒,Treatment_of_department,嗜睡症
小袋纤毛虫病,Treatment_of_department,阑尾炎
小袋纤毛虫病,Treatment_of_department,腹膜炎
小儿有机磷农药中毒,Treatment_of_department,瘫痪
小儿潮红综合征,Treatment_of_department,休克
桡骨干骨折,Treatment_of_department,骨关节炎
胫骨远端爆裂骨折,Treatment_of_department,踝关节扭伤
驱蛔灵中毒,Treatment_of_department,经行失眠
驱蛔灵中毒,Treatment_of_department,失眠症
桡骨颈骨折和桡骨头骨骺分离,Treatment_of_department,肘外翻
桡骨颈骨折和桡骨头骨骺分离,Treatment_of_department,下尺桡关节脱位
肉孢子虫病,Treatment_of_department,心肌炎
肉孢子虫病,Treatment_of_department,心源性休克
绞架性骨折或外伤性枢椎椎弓骨折,Treatment_of_department,骨关节炎
急性硫化氢中毒,Treatment_of_department,视神经乳头水肿及视盘水肿
急性硫化氢中毒,Treatment_of_department,肺水肿
强酸类中毒,Treatment_of_department,休克
强酸类中毒,Treatment_of_department,肺水肿
强酸类中毒,Treatment_of_department,猝死
小儿急性中毒,Treatment_of_department,脱水
小儿急性中毒,Treatment_of_department,代谢性酸中毒
小儿急性中毒,Treatment_of_department,肺水肿
吡唑酮类中毒,Treatment_of_department,拉肚子
吡唑酮类中毒,Treatment_of_department,十二指肠溃疡
吡唑酮类中毒,Treatment_of_department,再生障碍性贫血
寇热,Treatment_of_department,非特异性间质肺炎
寇热,Treatment_of_department,心内膜炎
寇热,Treatment_of_department,慢性肺炎
短膜壳绦虫病,Treatment_of_department,阑尾炎
食物变应性和不耐受性,Treatment_of_department,过敏性休克
食物变应性和不耐受性,Treatment_of_department,哮喘
拟除虫菊类农药中毒,Treatment_of_department,肺水肿
老年人病毒性肝炎,Treatment_of_department,肝性脑病
老年人病毒性肝炎,Treatment_of_department,肝硬化
医源性胆管损伤,Treatment_of_department,胆汁性腹膜炎
医源性胆管损伤,Treatment_of_department,胆管炎
气管闭合性损伤,Treatment_of_department,气管食管瘘
庚型病毒性肝炎,Treatment_of_department,慢性肝炎
庚型病毒性肝炎,Treatment_of_department,肝硬化
暴发性肝炎样综合征,Treatment_of_department,胰腺炎
暴发性肝炎样综合征,Treatment_of_department,低血糖症
细粒棘球蚴病,Treatment_of_department,肝脓肿
乙型肝炎抗原血症,Treatment_of_department,原发性肝癌
外伤性硬脑膜下积液,Treatment_of_department,脑外伤
外伤性硬脑膜下积液,Treatment_of_department,脑外伤伴发的精神障碍
外伤性硬脑膜下积液,Treatment_of_department,闭合性脑外伤
钡中毒,Treatment_of_department,心脏肿瘤
弯曲菌肠炎,Treatment_of_department,阑尾炎
弯曲菌肠炎,Treatment_of_department,胆囊炎
弯曲菌肠炎,Treatment_of_department,肺炎链球菌败血症
烧伤休克,Treatment_of_department,肾衰
胸、腰椎爆裂骨折,Treatment_of_department,肿胀
胸、腰椎爆裂骨折,Treatment_of_department,褥疮
硼酸中毒,Treatment_of_department,拉肚子
硼酸中毒,Treatment_of_department,低血压
硼酸中毒,Treatment_of_department,休克
闭合性脊髓损伤,Treatment_of_department,肺不张
闭合性脊髓损伤,Treatment_of_department,脉管炎
闭合性脊髓损伤,Treatment_of_department,肺栓塞
杀虫脒中毒,Treatment_of_department,出血性膀胱炎
自缢,Treatment_of_department,抑郁症
自缢,Treatment_of_department,妄想症
巴顿骨折,Treatment_of_department,肿胀
软产道异常性难产,Treatment_of_department,难产
软产道异常性难产,Treatment_of_department,新生儿窒息
镍中毒,Treatment_of_department,肺水肿
蜂螫伤,Treatment_of_department,昏厥
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,脉络膜炎
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,动脉炎
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,溶血性贫血
真菌性食物中毒,Treatment_of_department,食物中毒
股动脉损伤,Treatment_of_department,失血性休克
肺炎球菌脑膜炎,Treatment_of_department,脑积水
肺炎球菌脑膜炎,Treatment_of_department,脑脓肿
肺炎球菌脑膜炎,Treatment_of_department,癫痫
肺炎链球菌性肺炎,Treatment_of_department,急性胃扩张
肺炎链球菌性肺炎,Treatment_of_department,休克
肺炎链球菌性肺炎,Treatment_of_department,充血性心力衰竭
肠出血性大肠埃希杆菌感染,Treatment_of_department,尿毒症
肠出血性大肠埃希杆菌感染,Treatment_of_department,血栓性血小板减少性紫癜
外伤性脾破裂,Treatment_of_department,肋骨骨折
麻黄碱中毒,Treatment_of_department,药物性呼吸衰竭
胸、腰椎椎体单纯性、楔形压缩骨折,Treatment_of_department,肿胀
胸、腰椎椎体单纯性、楔形压缩骨折,Treatment_of_department,褥疮
踝部急性韧带损伤,Treatment_of_department,踝关节扭伤
曼陀罗中毒,Treatment_of_department,高渗性非酮症糖尿病昏迷
水俣病,Treatment_of_department,神经官能症
人类疱疹病毒6，7，8型感染性疾病,Treatment_of_department,癫痫
人类疱疹病毒6，7，8型感染性疾病,Treatment_of_department,小儿惊厥
人类疱疹病毒6，7，8型感染性疾病,Treatment_of_department,脑膜炎
小儿汞中毒,Treatment_of_department,急性腹膜炎
小儿汞中毒,Treatment_of_department,肾衰
中毒性眩晕,Treatment_of_department,耳聋
乙醚中毒,Treatment_of_department,血尿
盖氏骨折,Treatment_of_department,尺桡骨干双骨折
盖氏骨折,Treatment_of_department,肿胀
鱼胆中毒,Treatment_of_department,血尿
鱼胆中毒,Treatment_of_department,黄疸
副溶血性弧菌食物中毒,Treatment_of_department,休克
舟骨骨折,Treatment_of_department,创伤性关节炎
舟骨骨折,Treatment_of_department,血管损伤
膝外侧韧带损伤,Treatment_of_department,腓总神经损伤
脊柱脊髓伤,Treatment_of_department,褥疮
尺桡骨骨干双骨折,Treatment_of_department,挤压综合征
咖啡因与氨茶碱中毒,Treatment_of_department,肺水肿
咖啡因与氨茶碱中毒,Treatment_of_department,肺栓塞
咖啡因与氨茶碱中毒,Treatment_of_department,过敏性休克
踝关节脱位,Treatment_of_department,骨折
踝关节脱位,Treatment_of_department,骨关节炎
新生儿中毒性红斑,Treatment_of_department,肿胀
高锰酸钾中毒,Treatment_of_department,肺炎
福尔马林中毒,Treatment_of_department,肺炎
福尔马林中毒,Treatment_of_department,肺水肿
福尔马林中毒,Treatment_of_department,休克
胃肠型食物中毒,Treatment_of_department,急性出血性坏死性肠炎
小儿心力衰竭,Treatment_of_department,心力衰竭
急性中毒性脑炎,Treatment_of_department,精神障碍
急性中毒性脑炎,Treatment_of_department,智能障碍
老年人重症肌无力,Treatment_of_department,胸腺瘤
汽油中毒,Treatment_of_department,肺水肿
髌腱断裂,Treatment_of_department,骨关节炎
铁线虫病,Treatment_of_department,血尿
阿片类药物中毒,Treatment_of_department,肺水肿
阿片类药物中毒,Treatment_of_department,休克
巨大胎儿,Treatment_of_department,子宫破裂
巨大胎儿,Treatment_of_department,产后出血
巨大胎儿,Treatment_of_department,新生儿窒息
维生素A中毒症,Treatment_of_department,脑疝
维生素A中毒症,Treatment_of_department,意识障碍
维生素A中毒症,Treatment_of_department,嗜睡症
布氏菌病,Treatment_of_department,脑膜炎
颈椎骨折脱位,Treatment_of_department,肺炎
颈椎骨折脱位,Treatment_of_department,褥疮
颈椎骨折脱位,Treatment_of_department,尿路感染
羊膜带综合征,Treatment_of_department,脊柱炎
硬脑膜下血肿,Treatment_of_department,意识障碍
硬脑膜下血肿,Treatment_of_department,癫痫
毒蕈中毒,Treatment_of_department,呼吸系统疾病伴发的精神障碍
产科播散性血管内凝血,Treatment_of_department,休克
产科播散性血管内凝血,Treatment_of_department,肺水肿
产科播散性血管内凝血,Treatment_of_department,血尿
急性失血性贫血,Treatment_of_department,休克
股四头肌肌腱断裂,Treatment_of_department,骨关节炎
肠侵袭性大肠埃希杆菌感染,Treatment_of_department,菌血症
肠侵袭性大肠埃希杆菌感染,Treatment_of_department,溶血尿毒症综合征
肠侵袭性大肠埃希杆菌感染,Treatment_of_department,骨关节炎
铋中毒,Treatment_of_department,便秘
铋中毒,Treatment_of_department,拉肚子
不动杆菌感染,Treatment_of_department,脑室炎
不动杆菌感染,Treatment_of_department,脑脓肿
不动杆菌感染,Treatment_of_department,脑积水
神经型食物中毒,Treatment_of_department,肺炎
肱骨头骨折,Treatment_of_department,骨折
四氯化碳中毒,Treatment_of_department,拉肚子
药物性心肌病,Treatment_of_department,猝死
药物性心肌病,Treatment_of_department,感染性心内膜炎
吸入性损伤,Treatment_of_department,吸收不良综合征
婴儿猝死综合征,Treatment_of_department,猝死
伴齿状突骨折的寰枢椎前脱位,Treatment_of_department,瘫痪
手部血管损伤,Treatment_of_department,缺血性坏死
下尺桡关节脱位,Treatment_of_department,骨折
中毒性休克综合征,Treatment_of_department,直立性低血压
中毒性休克综合征,Treatment_of_department,昏厥
