name,detail,info_match
尿多巴胺,多巴胺是人体髓质分泌之一(儿茶酚胺由肾上腺素、去甲肾上腺素、多巴胺等组成)，多巴胺亦为神经递质，对功能有重要生理作用。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：禁止剧烈运动、重体力劳动，停止服用利尿剂、两性霉素B等药物。  检查时：放松身体，消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
血清高敏CRP,高敏-CRP已被证实是由慢性炎症引发心血管疾病的独立危险因素，高敏C反应蛋白(hs-CRP)是一种重要的炎症标记物和心血管疾病危险的预测因子，检测其浓度对心血管疾病的干预及预后起重要作用被临床重视。,"{'price': {'price': '￥4-￥46'}, 'notice': {'notice': '1、检查前禁忌：禁止服用某些药物(如避孕药、甲状腺激素、甾体激素等)可影响血脂水平。  2、检查时要求：近期应无急性疾病、损伤或外科手术史。  不合宜人群：在血脂正常，经常运动者不易CPR上升。'}}"
蛋白质浓度,蛋白质浓度测定，即利用化学或物理方法测定蛋白质的浓度。  蛋白质的定量分析是生物化学和其他生命学科最常涉及的分析内容， 是临床上诊断疾病及检查康复情况的重要指标，也是许多生物制品，药物、食品质量检测的重要指标。  在生化实验中，对样品中的蛋白质进行准确可靠的定量分析，则是经常进行的一项非常重要的工作。,"{'price': {'price': '￥20-￥30'}, 'notice': {'notice': '不合宜人群：有明显出血倾向的人群。  检查前禁忌：检查前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。体检前一天的晚八时以后，应禁食。  检查时要求：抽血时应放松心情，避免因恐惧造成血管的收缩、增加采血的困难。测定中，蛋白-染料复合物会有少部分吸附于比色杯壁上，实验证明此复合物的吸附量是可以忽略的。测定完后可用乙醇将蓝色的比色杯洗干净。'}}"
凝聚胺试验,凝聚是应用凝聚胺技术进行对血液的检测，用于诊断两配对血型间是否相互稳定共存间的交叉配血，以预防或诊断ABO血型不合引起的。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：检查前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。体检前一天 的晚八时以后，应禁食。  检查时要求：抽血时应放松心情，避免因恐惧造成血管的收缩、增加采血的困难。'}}"
血浆脯氨酸肽酶,肽酶(PLD)或脯肽酶，是一种广泛存在于人体各组织和细胞的亚氨基肽酶，它催化含有C-末端脯氨酸或2肽的水解，对胶原合成和细胞生长过程中脯氨酸的再循环起重要作用。其血中水平变化与肝损害程度及肝病慢性化密切相关。,"{'price': {'price': '￥30'}, 'notice': {'notice': '检查前注意：  1.抽血检查的早上不能吃早餐。  2.抽血前最好不要抽烟，喝酒，熬夜。注意休息。  检查时要求：  1.检查时应当告知医生药物史。  2.检查时如有不适(如头晕等)，应当告知医生。  不适宜人群：无不适宜人群。'}}"
热盐水试验,热盐水试验是利用热盐水对血细胞进行检查，用于检查细胞核溶解情况。,"{'price': {'price': '￥4-￥5'}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：检查前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。体检前一天的晚八时以后，应禁食。  检查时要求：  1. 为保证获得完整的细胞核，第一是全程低温操作。第二是快速。第三，在不破坏亚细胞器的情况下破碎细胞是制备细胞核的最关键环节。与组织块相比，培养细胞特别是贴壁培养细胞在用玻璃匀浆器匀浆时较难破壁，因而要选用小容量玻璃匀浆器、间隙严密的研杵上下研磨培养细胞。  2. 以离心力g计算正确的离心速度，不同的离心机可据此精确计算离心速度。  3. 进行Western Blot和2D-胶电泳，可直接加入上样缓冲液裂解细胞核。'}}"
胫化酶谷氨酸,胫化酶谷氨酸是蛋白质检测中属于其他氨基酸的检查。,"{'price': {'price': '￥15'}, 'notice': {'notice': '1、检查前禁忌：休息不良，饮食不当，过度疲劳。  2、检查时要求：积极配合医生的工作。  不合宜人群：无。'}}"
连续血浆鱼精蛋白稀释试验,是在血浆中加入鱼精蛋白稀释，用于诊断是否存在成功溶解的判断。,"{'price': {'price': '￥4-￥8'}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：检查前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。病人处于空腹和平衡状态，情绪激动和剧烈运动神经紧张会引起PCT增多;凝血项目检查患者应停用影响止凝血实验的药物至少一周。  检查时要求：止血带不要扎得太紧，时间不超过半分钟，采集静脉血时严禁拍打采血部位，要“一针见血”，防止组织损伤，否则易溶血和凝血;留置导管的血标本，不适宜做凝血实验'}}"
红细胞滚动试验,是对红细胞进行检测，观察可见滚动，估计球形红细胞大致百分比，用于过筛遗传性球形(HS)。,"{'price': {'price': '￥1.6-￥4'}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：检查前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。体检前一天 的晚八时以后，应禁食。  检查时要求：抽血时应放松心情，避免因恐惧造成血管的收缩、增加采血的困难。'}}"
引线试验,是在纸上划两条相距10cm的垂直线，嘱患者由左侧直线划横直线达右侧垂直线，患者常超过右侧垂直线。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：手部受伤者，手部神经损伤等其他疾病的患者。  检查前禁忌：检查前要先准备好所要用的笔和纸。  检查时要求：检查时不要过于紧张，以免影响检查结果。'}}"
经皮肾镜,是一项用于检查是否正常的辅助诊断方法。经皮肾镜检查术是应用内窥经过扩张后形成的至肾集合系统通道，进入上泌尿道施行检查、诊断和治疗的一种技术，是泌尿外科领域很有价值的诊治措施之一。,"{'price': {'price': '￥600'}, 'notice': {'notice': '不合宜人群：  1.全身出血性疾患;  2.肾及肾周急性感染期。  检查前准备：经皮肾镜的检查前准备与泌尿外科其他内腔镜检查的检查前准备相同。术者必须详细全面地了解病情，明确检查目的。病人的准备按肾手术进行，除术前检查各重要脏器功能外，还需作泌尿道全面影像学检查，有助于术者了解肾盂肾盏的解剖结构，确定经皮穿刺肾盏的径路。术前检查血型，备一定数量的全血。术前应用抗生素，留置导尿管。器械准备重点检查器械是否齐全，功能状态是否良好。灌洗液可用生理盐水。  检查后处理：肾手术常规护理，注意保护造瘘管并保持其通畅。2.应用抗生素防治感染。3.肠道功能恢复后鼓励多饮水。'}}"
天门冬酰酸,天门冬酰酸是蛋白质检测中属于其他氨基酸的检查。,"{'price': {'price': ''}, 'notice': {'notice': '1、检查前禁忌：休息不良，饮食不当，过度疲劳。  2、检查时要求：积极配合医生的工作。  不合宜人群：无。'}}"
冈达征,冈达(Gonda)征属于病理反射。冈达(Gonda)征阳性是锥体束损害时最重要的体征。阳性表现为拇趾背屈，其余四趾呈扇形散开。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：下肢残疾或者脚趾本身有病变的患者。  检查前禁忌：检查者要与病人沟通好，嘱咐病人若检查者手压脚趾力度过大时要及时告知自己，以便检查者及时调整按压力度。  检查时要求：检查者用手压病人的第4趾或小趾时只要将脚趾压紧即可，无需太过用力，防止将病人的脚趾压伤。'}}"
泪液电解质,泪液含多种电解质。各离子浓度多数与血液离子浓度相关。目前电解质分析仅是近年来发展起来的，利用电化学分析技术即离子选择电极(ISE)技术测定K+、Na+、Cl、HCO3-等的专用自动生化分析仪。因其具有快速、精确之优点，已趋向普及。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：一般无特殊人群  检查前禁忌：用手揉眼睛，不能吃辛辣食物。  检查时要求：因为此项检查分很多种方法，患者需要根据医生的指示做好检查，不同医院可能方法都会不一样。'}}"
4-胫脯氨酸,4-胫脯氨酸是蛋白质检测中属于其他氨基酸的检查。,"{'price': {'price': ''}, 'notice': {'notice': '1、检查前禁忌：休息不良，饮食不当。  2、检查时要求：积极配合医生的工作。  不合宜人群：无。'}}"
粪便结缔组织与弹力纤维,检查，可以了解消化、吸收功能，协助诊断消化系统疾病。结缔组织常与弹力纤维并存于粪便中. 结缔组织是无色或微黄色束状边缘轮廓不清晰的线条状物. 而弹力纤维的边缘轮廓明显而分叉. 当缺乏时. 粪便中可见到保持原样的结缔组织。,"{'price': {'price': ''}, 'notice': {'notice': '检查时要求：  1、采集时请避免挖取沾到马桶內尿液及自来水的部分;同时也请勿将粪便直接置于卫生纸或擦手纸上。  2、先进行肉眼检查，观察是否有细丝状，如果没有发现，则送往显微镜检查。  检查前准备：  1、检查前应该尽量避免食用高纤维难消化的食物。  2、检查前不能服用含有泻药成分的药物，以确保检查的准确性。  不适宜人群：  本检查为常规检查，没有不适宜人群。'}}"
水负荷ADH抑制试验,水负荷ADH抑制试验是检查是否有抗激素分泌不当症(SLADH)。SLADH系指体内(ADH)分泌异常增多或其活性作用超常，从而导致、尿排钠增多以及稀释性等综合征。,"{'price': {'price': '￥20-￥130'}, 'notice': {'notice': '1.检查前禁忌：注意正常的饮食，注意正常的作息，防止内分泌混乱。  2.检查时要求：积极配合医生的要求。本试验有一定危险性，应选择性进行(血钠>125mmol/L，而无明显症状者)。  不合宜人群：暂时不明。'}}"
静脉听诊,检查是用于检查血管是否正常的一项辅助检查方法。杂音的特征是此杂音以右侧颈部为明显，吸气、头转向左侧及吸入亚硝酸异戊酯时杂音增强，坐位或立位时最响，平卧位及压迫静脉时，杂音即消失。通过此项检查可以判断病变部位及相对应的病征。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：严重的血管及心功能不全者。  检查前禁忌：保持正常的饮食和作息时间。  检查时要求：检查的位置常在脐周或上腹部，检查时患者积极配合医生，检查前一个小时不适宜做剧烈运动，检查时不宜过度紧张，以免影响结果。'}}"
血清苷-胆酸,血清甘胆酸(Cholyglycine， CG) 是胆酸与结合二次的结合型胆酸之一，其含量变化在病诊疗中具有重要价值。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：  1.抽血前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。  2.体检前一天的晚八时以后，应开始禁食12小时，以免影响检测结果。  3.抽血时应放松心情，避免因恐惧造成血管的收缩，增加采血的困难。  检查后：  1.抽血后，需在针孔处进行局部按压3-5分钟，进行止血。注意：不要揉，以免造成皮下血肿。  2.按压时间应充分。各人的凝血时间有差异，有的人需要稍长的时间方可凝血。所以当皮肤表层看似未出血就马上停止压迫，可能会因未完全止血，而使血液渗至皮下造成青淤。因此按压时间长些，才能完全止血。如有出血倾向，更应延长按压时间。  3.抽血后出现晕针症状如：头晕、眼花、乏力等应立即平卧、饮少量糖水，待症状缓解后再进行体检。  4.若局部出现淤血，24小时后用温热毛巾湿敷，可促进吸收。'}}"
变性珠蛋白小体,珠蛋白小体检测(Heinz小体)是一种变性颗粒，一般附着在细胞膜上，多发生于敏感个体服用药物或接触化学物质后，药物可导致Hb变性。其他可见于不稳定Hb患者，对G-6-PD缺乏症及不稳定Hb病的诊断有价值。,"{'price': {'price': '￥1.6-￥5'}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：注意休息，保持空腹抽血。不要穿袖口过小、过紧的衣服，以避免在抽血时衣袖卷不上来或抽血后衣袖过紧，引起手臂血管血肿。 避免剧烈运动。  检查时要求：静脉采血中不要乱动，耐心等待结果。'}}"
