illness_name,examination,examination_name
铜绿色假单胞菌脑膜炎,Treatment_of_department,尿液细菌培养
铜绿色假单胞菌脑膜炎,Treatment_of_department,脑膜刺激征
铜绿色假单胞菌脑膜炎,Treatment_of_department,直接涂片检查
小儿出血性休克和脑病综合征,Treatment_of_department,颅脑CT
小儿出血性休克和脑病综合征,Treatment_of_department,脑电图
小儿出血性休克和脑病综合征,Treatment_of_department,心电图
小儿触电与雷击,Treatment_of_department,肾功能
小儿触电与雷击,Treatment_of_department,血液电解质
小儿触电与雷击,Treatment_of_department,颅脑CT
砷化氢引起的溶血性贫血,Treatment_of_department,红细胞谷胱甘肽合成酶
砷化氢引起的溶血性贫血,Treatment_of_department,红细胞环状体
砷化氢引起的溶血性贫血,Treatment_of_department,红细胞碱粒凝集试验
婴儿肉毒中毒综合征,Treatment_of_department,毒素皮肤试验
婴儿肉毒中毒综合征,Treatment_of_department,明胶液化试验
婴儿肉毒中毒综合征,Treatment_of_department,粪细菌培养
杜波组织胞浆菌病,Treatment_of_department,胆汁溶菌试验
杜波组织胞浆菌病,Treatment_of_department,细菌学检验
杜波组织胞浆菌病,Treatment_of_department,真菌的分离与鉴定
小儿水杨酸盐类中毒,Treatment_of_department,尿三氯化铁试验
小儿水杨酸盐类中毒,Treatment_of_department,血液生化六项
小儿水杨酸盐类中毒,Treatment_of_department,胸部平片
小儿片吸虫病,Treatment_of_department,肝功能
小儿片吸虫病,Treatment_of_department,粪便寄生虫
克里米亚-刚果出血热,Treatment_of_department,尿常规
克里米亚-刚果出血热,Treatment_of_department,补体结合试验
溶组织内阿米巴病,Treatment_of_department,粪便寄生虫
溶组织内阿米巴病,Treatment_of_department,阿米巴原虫抗原
溶组织内阿米巴病,Treatment_of_department,血清阿米巴原虫抗体
湄公血吸虫病,Treatment_of_department,肝功能
湄公血吸虫病,Treatment_of_department,寄生虫血液检查
湄公血吸虫病,Treatment_of_department,粪便寄生虫
致肠细胞病变人孤儿病毒感染,Treatment_of_department,普通透视检查
致肠细胞病变人孤儿病毒感染,Treatment_of_department,胸部平片
致肠细胞病变人孤儿病毒感染,Treatment_of_department,中和试验
委内瑞拉马脑炎,Treatment_of_department,脑脊液钙
委内瑞拉马脑炎,Treatment_of_department,血清阳离子
委内瑞拉马脑炎,Treatment_of_department,脑脊液结合型髓鞘碱性蛋白
棘阿米巴性巩膜炎,Treatment_of_department,巩膜硬度
棘阿米巴性巩膜炎,Treatment_of_department,巩膜检查法
棉子中毒,Treatment_of_department,细菌性食物中毒检测
棉子中毒,Treatment_of_department,动态心电图
棉子中毒,Treatment_of_department,心电图
腹腔肺吸虫病,Treatment_of_department,肺吸虫皮内试验
腹腔肺吸虫病,Treatment_of_department,腹腔脏器的叩诊
腹腔肺吸虫病,Treatment_of_department,直接涂片检查
立氏立克次体斑疹热,Treatment_of_department,脑脊液检查-化学检查-蛋白质检查
立氏立克次体斑疹热,Treatment_of_department,立克次体凝集试验
立氏立克次体斑疹热,Treatment_of_department,立克次体补体结合试验
战壕热,Treatment_of_department,凝集实验
肝性胸腔积液,Treatment_of_department,斯叩达鼓音
肝性胸腔积液,Treatment_of_department,拉曼征
肝性胸腔积液,Treatment_of_department,呼吸动度
小儿发育性髋脱位,Treatment_of_department,髋臼指数
小儿发育性髋脱位,Treatment_of_department,便常规
小儿发育性髋脱位,Treatment_of_department,骨与关节MRI
耻骨结核,Treatment_of_department,四肢的骨和关节平片
耻骨结核,Treatment_of_department,结核杆菌检查
咽后壁憩室,Treatment_of_department,食道X线钡餐
脐尿管囊肿及脐尿管瘘,Treatment_of_department,腹部透视
脐尿管囊肿及脐尿管瘘,Treatment_of_department,膀胱B超
α1-抗胰蛋白酶缺乏症,Treatment_of_department,血清胰蛋白酶
α1-抗胰蛋白酶缺乏症,Treatment_of_department,粪便肌肉纤维
腕关节结核,Treatment_of_department,关节镜
腕关节结核,Treatment_of_department,芬斯特弗征
腕关节结核,Treatment_of_department,血沉
肠伤寒穿孔,Treatment_of_department,腹部平片
肠伤寒穿孔,Treatment_of_department,腹部透视
肠伤寒穿孔,Treatment_of_department,双气囊小肠镜
小螺菌感染,Treatment_of_department,梅毒血清试验
小螺菌感染,Treatment_of_department,细胞组织化学染色
二尖瓣和主动脉瓣的疾患,Treatment_of_department,心血管造影
二尖瓣和主动脉瓣的疾患,Treatment_of_department,心电图
二尖瓣和主动脉瓣的疾患,Treatment_of_department,胸透
鄂木斯克出血热,Treatment_of_department,尿常规
鄂木斯克出血热,Treatment_of_department,中和试验
脊椎外伤,Treatment_of_department,脊椎平片
脊椎外伤,Treatment_of_department,拾物试验
脊椎外伤,Treatment_of_department,中年男性体检
荚膜组织胞浆菌病,Treatment_of_department,真菌组织病理学
荚膜组织胞浆菌病,Treatment_of_department,胸部平片
骨包囊虫病,Treatment_of_department,四肢的骨和关节平片
骨包囊虫病,Treatment_of_department,皮内试验
骨包囊虫病,Treatment_of_department,寄生虫感染免疫检测
苏格兰脑炎,Treatment_of_department,脑脊液钙
苏格兰脑炎,Treatment_of_department,血清阳离子
苏格兰脑炎,Treatment_of_department,脑脊液结合型髓鞘碱性蛋白
肾盏积水,Treatment_of_department,静脉尿路造影
西方马型脑炎,Treatment_of_department,脑脊液检查-化学检查-蛋白质检查
西方马型脑炎,Treatment_of_department,脑脊液钙
西方马型脑炎,Treatment_of_department,血清阳离子
急性感染性心内膜炎,Treatment_of_department,真菌感染的实验室检查
急性感染性心内膜炎,Treatment_of_department,动态心电图
急性感染性心内膜炎,Treatment_of_department,心电图
椎弓结核,Treatment_of_department,血清鳞状上皮细胞癌抗原
椎弓结核,Treatment_of_department,结核杆菌检查
椎弓结核,Treatment_of_department,结核杆菌基因检测
巨吻棘头虫病,Treatment_of_department,粪便寄生虫
小儿埃可及柯萨奇病毒感染,Treatment_of_department,血清特异性IgE抗体
透明丝孢霉病,Treatment_of_department,皮肤病理检查
透明丝孢霉病,Treatment_of_department,真菌感染的实验室检查
小儿其他沙门菌感染,Treatment_of_department,沙门氏菌的鉴定
肋锁综合征,Treatment_of_department,四肢的骨和关节平片
肋锁综合征,Treatment_of_department,血管造影
肋锁综合征,Treatment_of_department,关节检查
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,肝功能
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,丙肝RNA
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,丁型肝炎抗原
羌虫病,Treatment_of_department,肥达反应
羌虫病,Treatment_of_department,血常规
小儿丁型病毒性肝炎,Treatment_of_department,精氨酰琥珀酸裂解酶
小儿丁型病毒性肝炎,Treatment_of_department,血清r-谷氨酰基转移酶
小儿丁型病毒性肝炎,Treatment_of_department,血清总胆红素
异尖线吸虫蚴移行症,Treatment_of_department,钩端螺旋体乳胶凝集试验
小儿埃博拉病毒病,Treatment_of_department,尿常规
小儿埃博拉病毒病,Treatment_of_department,血液生化六项
生殖道肿瘤,Treatment_of_department,肿瘤标志物
生殖道肿瘤,Treatment_of_department,免疫病理检查
生殖道肿瘤,Treatment_of_department,细胞组织化学染色
睾丸女性化,Treatment_of_department,睾酮
睾丸女性化,Treatment_of_department,促黄体生成素
睾丸女性化,Treatment_of_department,血清卵泡刺激素
前列腺异位,Treatment_of_department,血清PSA
前列腺异位,Treatment_of_department,前列腺检查
前列腺异位,Treatment_of_department,膀胱B超
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,睾酮
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,心电图
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,骨密度
男性青春期发育延迟,Treatment_of_department,发育与体型
男性青春期发育延迟,Treatment_of_department,促黄体生成素
男性青春期发育延迟,Treatment_of_department,血清卵泡刺激素
阴茎阴囊象皮肿,Treatment_of_department,阴囊显象
阴茎阴囊象皮肿,Treatment_of_department,外生殖器检查
阴茎阴囊象皮肿,Treatment_of_department,嗜酸性粒细胞数
阴茎折断,Treatment_of_department,阴茎海绵体造影
阴茎折断,Treatment_of_department,阴茎超声检查
先天性无阴道,Treatment_of_department,卵巢功能检查
无精症,Treatment_of_department,睾丸活检
无精症,Treatment_of_department,精液检查
前庭大腺炎,Treatment_of_department,阴道分泌物涂片
前庭大腺炎,Treatment_of_department,阴道妇科常规检查
前庭大腺炎,Treatment_of_department,外阴部妇科常规检查
输精管堵塞,Treatment_of_department,睾丸活检
输精管堵塞,Treatment_of_department,输精管造影
输精管堵塞,Treatment_of_department,阴囊检查
染色体异常,Treatment_of_department,羊膜穿刺术
染色体异常,Treatment_of_department,羊水细胞培养
染色体异常,Treatment_of_department,染色体
少精症,Treatment_of_department,睾丸检查
少精症,Treatment_of_department,精囊检查
少精症,Treatment_of_department,精液检查
非性病性梅毒,Treatment_of_department,梅毒螺旋体血凝试验
非性病性梅毒,Treatment_of_department,梅毒螺旋体血球凝集试验
非性病性梅毒,Treatment_of_department,血清梅毒螺旋体抗体
男性生殖器畸形,Treatment_of_department,染色体
男性生殖器畸形,Treatment_of_department,前列腺、精囊腺的超声检查
处女膜闭锁,Treatment_of_department,腹部包块
处女膜闭锁,Treatment_of_department,宫颈妇科常规检查
处女膜闭锁,Treatment_of_department,外阴部妇科常规检查
真两性畸形,Treatment_of_department,Y染色质
真两性畸形,Treatment_of_department,嗜中性粒细胞核鼓槌小体
真两性畸形,Treatment_of_department,性激素六项
不射精症,Treatment_of_department,性交后试验
不射精症,Treatment_of_department,男性性功能全面测试
不射精症,Treatment_of_department,阴囊超声检查
子宫脱垂,Treatment_of_department,阴道窥器检查
子宫脱垂,Treatment_of_department,盆腔和阴道B超
子宫脱垂,Treatment_of_department,妇科常规检查
精囊囊肿,Treatment_of_department,前列腺、精囊腺的超声检查
精囊囊肿,Treatment_of_department,精液肉毒碱
精囊囊肿,Treatment_of_department,膀胱镜
男性生殖器外伤,Treatment_of_department,阴茎海绵体血管活性物质注射
男性生殖器外伤,Treatment_of_department,阴茎检查
男性生殖器外伤,Treatment_of_department,睾丸检查
男性假两性畸形,Treatment_of_department,睾丸活检
男性假两性畸形,Treatment_of_department,睾酮
男性假两性畸形,Treatment_of_department,促黄体生成素
死精症,Treatment_of_department,前列腺检查
死精症,Treatment_of_department,精浆的生化检查
死精症,Treatment_of_department,精子爬高试验
阴道横隔,Treatment_of_department,阴道窥器检查
阴道横隔,Treatment_of_department,阴道前后壁膨出度
前列腺囊肿,Treatment_of_department,前列腺液培养
前列腺囊肿,Treatment_of_department,血清PSA
前列腺囊肿,Treatment_of_department,膀胱镜
先天性睾丸发育不全,Treatment_of_department,睾酮
先天性睾丸发育不全,Treatment_of_department,血清卵泡刺激素
先天性睾丸发育不全,Treatment_of_department,雌二醇
双阴茎,Treatment_of_department,导尿术
双阴茎,Treatment_of_department,膀胱造影
双阴茎,Treatment_of_department,阴茎海绵体造影
膀胱尿道异物,Treatment_of_department,膀胱触诊
膀胱尿道异物,Treatment_of_department,膀胱叩诊
膀胱尿道异物,Treatment_of_department,前列腺B超
子宫性不孕,Treatment_of_department,介入性宫内取材检查
子宫性不孕,Treatment_of_department,子宫大小
子宫性不孕,Treatment_of_department,子宫疾病自检
睾丸损伤,Treatment_of_department,提睾反射
睾丸损伤,Treatment_of_department,阴囊超声检查
无排卵性不孕症,Treatment_of_department,雌激素
阴茎扭转,Treatment_of_department,包皮包茎检查
阴茎扭转,Treatment_of_department,阴茎检查
子宫畸形,Treatment_of_department,静脉尿路造影
子宫畸形,Treatment_of_department,子宫及附件检查
子宫畸形,Treatment_of_department,子宫输卵管造影
输卵管炎,Treatment_of_department,血检查
输卵管炎,Treatment_of_department,血培养
输卵管炎,Treatment_of_department,阴道分泌物涂片
隐匿阴茎,Treatment_of_department,阴茎检查
隐匿阴茎,Treatment_of_department,阴茎超声检查
卵巢性不孕,Treatment_of_department,卵巢功能检查
卵巢性不孕,Treatment_of_department,卵巢检查
卵巢性不孕,Treatment_of_department,盆腔CT
外阴阴道性不孕,Treatment_of_department,女性性发育自我检查
外阴阴道性不孕,Treatment_of_department,性交后试验
外阴阴道性不孕,Treatment_of_department,阴道妇科常规检查
阴囊损伤,Treatment_of_department,阴囊显象
阴囊损伤,Treatment_of_department,透光试验
阴囊损伤,Treatment_of_department,阴囊超声检查
输卵管性不孕,Treatment_of_department,X线碘油造影
输卵管性不孕,Treatment_of_department,输卵管通畅检查
输卵管性不孕,Treatment_of_department,生育镜
免疫性不孕,Treatment_of_department,精子凝集试验
免疫性不孕,Treatment_of_department,精子爬高试验
免疫性不孕,Treatment_of_department,精子制动试验
阴茎离断伤,Treatment_of_department,阴茎检查
蹼状阴茎,Treatment_of_department,前列腺B超
输卵管结核,Treatment_of_department,腹部平片
输卵管结核,Treatment_of_department,X线碘油造影
输卵管结核,Treatment_of_department,结核菌素皮内试验
附睾畸形,Treatment_of_department,阴囊超声检查
特纳综合征,Treatment_of_department,尿液雌酮
特纳综合征,Treatment_of_department,阴道镜
特纳综合征,Treatment_of_department,染色体
小儿戊型病毒性肝炎,Treatment_of_department,肝功能
小儿戊型病毒性肝炎,Treatment_of_department,血清戊肝IgM抗体
小儿戊型病毒性肝炎,Treatment_of_department,血清r-谷氨酰基转移酶
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,尿常规
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,肾功能
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,肾活检
小儿丙型病毒性肝炎,Treatment_of_department,血清丙肝IgA抗体
小儿丙型病毒性肝炎,Treatment_of_department,血清丙肝抗体免疫球蛋白G
小儿丙型病毒性肝炎,Treatment_of_department,血清丙肝抗体免疫球蛋白M
等孢球虫病,Treatment_of_department,十二指肠液和胆汁寄生虫
等孢球虫病,Treatment_of_department,粪便寄生虫
中毒性高铁血红蛋白血症,Treatment_of_department,职业病检查项目
中毒性高铁血红蛋白血症,Treatment_of_department,血液电解质
中毒性高铁血红蛋白血症,Treatment_of_department,心电图
集聚肠杆菌感染,Treatment_of_department,血培养
集聚肠杆菌感染,Treatment_of_department,中性粒细胞计数
集聚肠杆菌感染,Treatment_of_department,WBC
锑中毒,Treatment_of_department,尿常规
锑中毒,Treatment_of_department,肾功能
锑中毒,Treatment_of_department,肝功能
卫氏并殖吸虫病,Treatment_of_department,皮内试验
卫氏并殖吸虫病,Treatment_of_department,嗜酸性粒细胞数
卫氏并殖吸虫病,Treatment_of_department,胸部平片
前臂动脉损伤,Treatment_of_department,血管镜
前臂动脉损伤,Treatment_of_department,上肢动脉功能试验
敌鼠中毒,Treatment_of_department,尿常规
敌鼠中毒,Treatment_of_department,肾功能
敌鼠中毒,Treatment_of_department,肝功能
新生儿休克,Treatment_of_department,心脏血管超声检查
新生儿休克,Treatment_of_department,动态心电图
新生儿休克,Treatment_of_department,心电图
片吸虫病,Treatment_of_department,肝穿刺活检
片吸虫病,Treatment_of_department,寄生虫检查的直接涂片法
片吸虫病,Treatment_of_department,大生化检查
肝炎双重感染,Treatment_of_department,血清总蛋白
肝炎双重感染,Treatment_of_department,尿胆红素
肝炎双重感染,Treatment_of_department,WBC
桡骨茎突骨折,Treatment_of_department,洛日埃征
肝瘟,Treatment_of_department,红细胞血清总胆红素
肝瘟,Treatment_of_department,血清戊肝IgG抗体
肝瘟,Treatment_of_department,血清碱性胚胎蛋白
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,脑脊液细菌培养
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,脑脊液的显微镜检查
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,脑膜刺激征
颈椎单侧及双侧小关节脱位,Treatment_of_department,颈部MRI
新生儿乙型肝炎,Treatment_of_department,肝功能
新生儿乙型肝炎,Treatment_of_department,献血者健康检查
新生儿乙型肝炎,Treatment_of_department,血清结合胆红素
桡骨远端骨骺分离,Treatment_of_department,洛日埃征
真菌中毒症,Treatment_of_department,尿常规
真菌中毒症,Treatment_of_department,真菌培养
真菌中毒症,Treatment_of_department,血液生化六项
肝炎后综合征,Treatment_of_department,血清总蛋白
肝炎后综合征,Treatment_of_department,肝脏B超
肝炎后综合征,Treatment_of_department,血清弓形虫抗体
丁肝,Treatment_of_department,免疫印迹技术
丁肝,Treatment_of_department,血清谷草转氨酶
丁肝,Treatment_of_department,凝血酶原时间
肝结核,Treatment_of_department,肝功能
肝结核,Treatment_of_department,结核菌素皮内试验
肝结核,Treatment_of_department,中性粒细胞计数
急性乙肝,Treatment_of_department,健康体检
急性乙肝,Treatment_of_department,肝功能
急性乙肝,Treatment_of_department,血清r-谷氨酰基转移酶
铜中毒引起的溶血性贫血,Treatment_of_department,葡萄糖6-磷酸脱氢酶荧光斑点试验
铜中毒引起的溶血性贫血,Treatment_of_department,微量元素
铜中毒引起的溶血性贫血,Treatment_of_department,职业病检查项目
急性黄疸型肝炎,Treatment_of_department,肝功能
急性黄疸型肝炎,Treatment_of_department,白细胞数
急性黄疸型肝炎,Treatment_of_department,白细胞分类计数
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,尿常规
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,肝功能
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,血清乳酸脱氢酶
肝炎,Treatment_of_department,1分钟胆红素
肝炎,Treatment_of_department,自身免疫抗体检测
肝炎,Treatment_of_department,儿童体检
新生儿肝炎,Treatment_of_department,血清总蛋白
新生儿肝炎,Treatment_of_department,血清总胆红素
新生儿肝炎,Treatment_of_department,血清结合胆红素
金黄色葡萄球菌脑膜炎,Treatment_of_department,脑脊液检查-化学检查-蛋白质检查
金黄色葡萄球菌脑膜炎,Treatment_of_department,脑膜刺激征
金黄色葡萄球菌脑膜炎,Treatment_of_department,脑脊液培养+药敏试验
铅中毒引起的溶血性贫血,Treatment_of_department,尿铅
铅中毒引起的溶血性贫血,Treatment_of_department,螯合剂驱铅试验
铅中毒引起的溶血性贫血,Treatment_of_department,血红蛋白电泳
铍中毒,Treatment_of_department,尿常规
铍中毒,Treatment_of_department,尿铍
铍中毒,Treatment_of_department,中性粒细胞计数
丙肝,Treatment_of_department,丙肝RNA
丙肝,Treatment_of_department,血清丙肝IgA抗体
丙肝,Treatment_of_department,血清丙肝抗体免疫球蛋白G
小儿一氧化碳中毒,Treatment_of_department,尿常规
小儿一氧化碳中毒,Treatment_of_department,便常规
小儿一氧化碳中毒,Treatment_of_department,一氧化碳
病毒性肝炎,Treatment_of_department,肝功能
病毒性肝炎,Treatment_of_department,血清谷草转氨酶
病毒性肝炎,Treatment_of_department,血清甲型肝炎病毒抗原
甲肝,Treatment_of_department,血清总蛋白
甲肝,Treatment_of_department,献血者健康检查
甲肝,Treatment_of_department,肝脏B超
登革出血热,Treatment_of_department,尿常规
登革出血热,Treatment_of_department,血凝抑制试验
登革出血热,Treatment_of_department,血清抗流行性出血热病毒抗体
烧伤脓毒症,Treatment_of_department,血清阳离子
烧伤脓毒症,Treatment_of_department,血液及骨髓细菌培养
烧伤脓毒症,Treatment_of_department,全血镍
颈椎椎体楔形压缩骨折,Treatment_of_department,颈部MRI
颈椎椎体楔形压缩骨折,Treatment_of_department,脊柱椎体平扫
颈椎椎体楔形压缩骨折,Treatment_of_department,脊椎平片
创伤性肩关节后脱位,Treatment_of_department,四肢的骨和关节平片
创伤性肩关节后脱位,Treatment_of_department,四肢CT
复孔绦虫病,Treatment_of_department,粪便寄生虫
持续性枕横位难产,Treatment_of_department,Ⅰ级产前超声检查
持续性枕横位难产,Treatment_of_department,胸膝卧位检查
持续性枕横位难产,Treatment_of_department,胎方位
史密斯骨折,Treatment_of_department,骨与关节MRI
史密斯骨折,Treatment_of_department,骨关节及软组织CT
持续性枕后位难产,Treatment_of_department,Ⅱ级产前超声检查
持续性枕后位难产,Treatment_of_department,Ⅰ级产前超声检查
持续性枕后位难产,Treatment_of_department,阴道触诊
小肠扭转,Treatment_of_department,口服法小肠造影
螺菌病,Treatment_of_department,梅毒血清试验
螺菌病,Treatment_of_department,涂片
螺菌病,Treatment_of_department,嗜酸性粒细胞数
老年休克,Treatment_of_department,大生化检查
老年休克,Treatment_of_department,全血乳酸
老年休克,Treatment_of_department,心电图
农药中毒所致的精神障碍,Treatment_of_department,职业病检查项目
农药中毒所致的精神障碍,Treatment_of_department,脑电图
颈部勒伤,Treatment_of_department,头颅平片
颈部勒伤,Treatment_of_department,动脉血气分析
出血性休克和脑病综合征,Treatment_of_department,血红蛋白
出血性休克和脑病综合征,Treatment_of_department,体温
出血性休克和脑病综合征,Treatment_of_department,颅脑CT
妊娠性哮喘,Treatment_of_department,嗜酸性粒细胞数
妊娠性哮喘,Treatment_of_department,胸透
工业中毒所致的精神障碍,Treatment_of_department,职业病检查项目
工业中毒所致的精神障碍,Treatment_of_department,脑电图
