illness_name,pathogenic_site,parts_name
阴茎阴囊象皮肿,Treatment_of_department,男性生殖
阴茎阴囊象皮肿,Treatment_of_department,血液血管
阴茎阴囊象皮肿,Treatment_of_department,淋巴
阴茎折断,Treatment_of_department,阴茎
先天性无阴道,Treatment_of_department,阴道
无精症,Treatment_of_department,男性生殖
前庭大腺炎,Treatment_of_department,外阴
输精管堵塞,Treatment_of_department,输精管
染色体异常,Treatment_of_department,其他
少精症,Treatment_of_department,男性生殖
非性病性梅毒,Treatment_of_department,口
非性病性梅毒,Treatment_of_department,皮肤
非性病性梅毒,Treatment_of_department,骨
男性生殖器畸形,Treatment_of_department,男性生殖
处女膜闭锁,Treatment_of_department,阴道
真两性畸形,Treatment_of_department,女性生殖
真两性畸形,Treatment_of_department,男性生殖
真两性畸形,Treatment_of_department,其他
不射精症,Treatment_of_department,男性生殖
子宫脱垂,Treatment_of_department,子宫
精囊囊肿,Treatment_of_department,男性生殖
男性生殖器外伤,Treatment_of_department,男性生殖
男性假两性畸形,Treatment_of_department,男性生殖
男性假两性畸形,Treatment_of_department,其他
死精症,Treatment_of_department,男性生殖
阴道横隔,Treatment_of_department,阴道
前列腺囊肿,Treatment_of_department,前列腺
先天性睾丸发育不全,Treatment_of_department,睾丸
双阴茎,Treatment_of_department,阴茎
膀胱尿道异物,Treatment_of_department,膀胱
膀胱尿道异物,Treatment_of_department,尿道
子宫性不孕,Treatment_of_department,子宫
睾丸损伤,Treatment_of_department,睾丸
无排卵性不孕症,Treatment_of_department,输卵管
阴茎扭转,Treatment_of_department,阴茎
子宫畸形,Treatment_of_department,子宫
输卵管炎,Treatment_of_department,输卵管
隐匿阴茎,Treatment_of_department,阴茎
卵巢性不孕,Treatment_of_department,卵巢
外阴阴道性不孕,Treatment_of_department,阴道
宫颈性不孕,Treatment_of_department,子宫
阴囊损伤,Treatment_of_department,男性生殖
两性畸形,Treatment_of_department,女性生殖
两性畸形,Treatment_of_department,男性生殖
输卵管性不孕,Treatment_of_department,输卵管
免疫性不孕,Treatment_of_department,女性生殖
霉菌性龟头炎,Treatment_of_department,阴茎
阴茎离断伤,Treatment_of_department,阴茎
蹼状阴茎,Treatment_of_department,阴茎
输卵管结核,Treatment_of_department,输卵管
多睾症,Treatment_of_department,睾丸
附睾畸形,Treatment_of_department,睾丸
特纳综合征,Treatment_of_department,卵巢
小儿戊型病毒性肝炎,Treatment_of_department,肝
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,肾
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,肝
小儿丙型病毒性肝炎,Treatment_of_department,肝
等孢球虫病,Treatment_of_department,肠
中毒性高铁血红蛋白血症,Treatment_of_department,血液血管
集聚肠杆菌感染,Treatment_of_department,全身
集聚肠杆菌感染,Treatment_of_department,皮肤
锑中毒,Treatment_of_department,全身
卫氏并殖吸虫病,Treatment_of_department,全身
前臂动脉损伤,Treatment_of_department,前臂
前臂动脉损伤,Treatment_of_department,血液血管
敌鼠中毒,Treatment_of_department,全身
新生儿休克,Treatment_of_department,全身
片吸虫病,Treatment_of_department,腹部
片吸虫病,Treatment_of_department,肝
片吸虫病,Treatment_of_department,胆
肝炎双重感染,Treatment_of_department,肝
桡骨茎突骨折,Treatment_of_department,前臂
桡骨茎突骨折,Treatment_of_department,上肢骨
肝瘟,Treatment_of_department,肝
胫骨后唇骨折,Treatment_of_department,下肢骨
胫骨后唇骨折,Treatment_of_department,小腿
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,颅脑
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,其他
颈椎单侧及双侧小关节脱位,Treatment_of_department,颈部
颈椎单侧及双侧小关节脱位,Treatment_of_department,脊柱
颈椎单侧及双侧小关节脱位,Treatment_of_department,关节
新生儿乙型肝炎,Treatment_of_department,肝
桡骨远端骨骺分离,Treatment_of_department,前臂
桡骨远端骨骺分离,Treatment_of_department,上肢骨
桡骨远端骨骺分离,Treatment_of_department,关节
真菌中毒症,Treatment_of_department,全身
肝炎后综合征,Treatment_of_department,肝
丁肝,Treatment_of_department,肝
肝结核,Treatment_of_department,肝
急性乙肝,Treatment_of_department,肝
铜中毒引起的溶血性贫血,Treatment_of_department,血液血管
急性黄疸型肝炎,Treatment_of_department,肝
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,肾
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,肝
肝炎,Treatment_of_department,肝
新生儿肝炎,Treatment_of_department,肝
金黄色葡萄球菌脑膜炎,Treatment_of_department,颅脑
金黄色葡萄球菌脑膜炎,Treatment_of_department,肺
金黄色葡萄球菌脑膜炎,Treatment_of_department,头部
铅中毒引起的溶血性贫血,Treatment_of_department,血液血管
铍中毒,Treatment_of_department,全身
丙肝,Treatment_of_department,肝
小儿一氧化碳中毒,Treatment_of_department,全身
病毒性肝炎,Treatment_of_department,肝
甲肝,Treatment_of_department,肝
登革出血热,Treatment_of_department,全身
登革出血热,Treatment_of_department,皮肤
烧伤脓毒症,Treatment_of_department,全身
颈椎椎体楔形压缩骨折,Treatment_of_department,颈部
颈椎椎体楔形压缩骨折,Treatment_of_department,脊柱
颈椎椎体楔形压缩骨折,Treatment_of_department,关节
创伤性肩关节后脱位,Treatment_of_department,肩部
创伤性肩关节后脱位,Treatment_of_department,上肢骨
创伤性肩关节后脱位,Treatment_of_department,关节
复孔绦虫病,Treatment_of_department,胃
复孔绦虫病,Treatment_of_department,肠
复孔绦虫病,Treatment_of_department,肛门
持续性枕横位难产,Treatment_of_department,子宫
史密斯骨折,Treatment_of_department,前臂
史密斯骨折,Treatment_of_department,上肢骨
肩胛颈及肩胛盂骨折,Treatment_of_department,肩部
肩胛颈及肩胛盂骨折,Treatment_of_department,上肢骨
肩胛颈及肩胛盂骨折,Treatment_of_department,关节
持续性枕后位难产,Treatment_of_department,子宫
小肠扭转,Treatment_of_department,肠
螺菌病,Treatment_of_department,全身
螺菌病,Treatment_of_department,皮肤
螺菌病,Treatment_of_department,淋巴
老年休克,Treatment_of_department,全身
农药中毒所致的精神障碍,Treatment_of_department,全身
农药中毒所致的精神障碍,Treatment_of_department,心理
颈部勒伤,Treatment_of_department,颈部
颈部勒伤,Treatment_of_department,脊柱
颈部勒伤,Treatment_of_department,关节
出血性休克和脑病综合征,Treatment_of_department,全身
出血性休克和脑病综合征,Treatment_of_department,颅脑
妊娠性哮喘,Treatment_of_department,肺
妊娠性哮喘,Treatment_of_department,气管
工业中毒所致的精神障碍,Treatment_of_department,全身
工业中毒所致的精神障碍,Treatment_of_department,心理
溴氯菊酯中毒,Treatment_of_department,全身
颠茄碱类植物药物中毒,Treatment_of_department,全身
千足虫灼伤,Treatment_of_department,皮肤
千足虫灼伤,Treatment_of_department,眼
小儿急性呼吸衰竭,Treatment_of_department,肺
医用药物中毒所致的精神障碍,Treatment_of_department,全身
医用药物中毒所致的精神障碍,Treatment_of_department,心理
非洲锥虫病,Treatment_of_department,颅脑
非洲锥虫病,Treatment_of_department,全身
非洲锥虫病,Treatment_of_department,皮肤
毒鱼刺伤,Treatment_of_department,皮肤
创伤性肩关节前脱位,Treatment_of_department,肩部
创伤性肩关节前脱位,Treatment_of_department,上肢骨
创伤性肩关节前脱位,Treatment_of_department,关节
外伤后脑膨出,Treatment_of_department,颅脑
瑞列绦虫病,Treatment_of_department,肠
瑞列绦虫病,Treatment_of_department,全身
瑞列绦虫病,Treatment_of_department,血液血管
士的宁中毒,Treatment_of_department,全身
新疆出血热,Treatment_of_department,血液血管
新疆出血热,Treatment_of_department,颅脑
小儿肺炎链球菌脑膜炎,Treatment_of_department,颅脑
羊膜腔感染综合征,Treatment_of_department,子宫
高原适应不全症,Treatment_of_department,肺
高原适应不全症,Treatment_of_department,全身
三环类抗忧郁药中毒,Treatment_of_department,全身
强碱类中毒,Treatment_of_department,全身
颈部开放性损伤,Treatment_of_department,颈部
距骨骨折脱位,Treatment_of_department,下肢骨
距骨骨折脱位,Treatment_of_department,足部
小儿砷中毒,Treatment_of_department,全身
腹壁挫伤,Treatment_of_department,腹部
链杆菌病,Treatment_of_department,全身
链杆菌病,Treatment_of_department,皮肤
链杆菌病,Treatment_of_department,关节
水合氯醛中毒,Treatment_of_department,全身
其他弧菌感染,Treatment_of_department,胃
其他弧菌感染,Treatment_of_department,肠
其他弧菌感染,Treatment_of_department,全身
农药中毒性肾病,Treatment_of_department,肾
农药中毒性肾病,Treatment_of_department,颅脑
农药中毒性肾病,Treatment_of_department,全身
中毒性紫癜,Treatment_of_department,皮肤
骨产道异常性难产,Treatment_of_department,子宫
腹部大血管损伤,Treatment_of_department,腹部
腹部大血管损伤,Treatment_of_department,血液血管
肱骨上端骨骺分离,Treatment_of_department,上臂
肱骨上端骨骺分离,Treatment_of_department,上肢骨
肱骨上端骨骺分离,Treatment_of_department,关节
流感嗜血杆菌脑膜炎,Treatment_of_department,颅脑
老年人感染性休克,Treatment_of_department,全身
酚类中毒,Treatment_of_department,全身
肺毛霉病,Treatment_of_department,肺
外伤性腹膜后出血或血肿,Treatment_of_department,腹部
外伤性腹膜后出血或血肿,Treatment_of_department,全身
小儿中毒型痢疾,Treatment_of_department,肠
老年人心源性休克,Treatment_of_department,心脏
老年人心源性休克,Treatment_of_department,全身
可拉明中毒,Treatment_of_department,全身
灭虫灵中毒,Treatment_of_department,全身
多房棘球蚴病,Treatment_of_department,肝
多房棘球蚴病,Treatment_of_department,全身
椎体严重楔形变并伴小关节半脱位,Treatment_of_department,脊柱
椎体严重楔形变并伴小关节半脱位,Treatment_of_department,关节
免疫抑制药和抗癌药中毒性肾病,Treatment_of_department,肾
免疫抑制药和抗癌药中毒性肾病,Treatment_of_department,膀胱
小儿洋地黄中毒,Treatment_of_department,全身
小儿洋地黄中毒,Treatment_of_department,心脏
小袋纤毛虫病,Treatment_of_department,肠
小儿有机磷农药中毒,Treatment_of_department,全身
小儿有机磷农药中毒,Treatment_of_department,腹部
小儿潮红综合征,Treatment_of_department,皮肤
小儿潮红综合征,Treatment_of_department,胃
小儿潮红综合征,Treatment_of_department,肠
桡骨干骨折,Treatment_of_department,前臂
桡骨干骨折,Treatment_of_department,上肢骨
胫骨远端爆裂骨折,Treatment_of_department,下肢骨
胫骨远端爆裂骨折,Treatment_of_department,小腿
驱蛔灵中毒,Treatment_of_department,全身
桡骨颈骨折和桡骨头骨骺分离,Treatment_of_department,前臂
桡骨颈骨折和桡骨头骨骺分离,Treatment_of_department,上肢骨
桡骨颈骨折和桡骨头骨骺分离,Treatment_of_department,关节
化学液体吸入,Treatment_of_department,口
化学液体吸入,Treatment_of_department,口
化学液体吸入,Treatment_of_department,肺
肉孢子虫病,Treatment_of_department,颅脑
肉孢子虫病,Treatment_of_department,全身
肉孢子虫病,Treatment_of_department,肌肉
绞架性骨折或外伤性枢椎椎弓骨折,Treatment_of_department,颈部
绞架性骨折或外伤性枢椎椎弓骨折,Treatment_of_department,脊柱
绞架性骨折或外伤性枢椎椎弓骨折,Treatment_of_department,关节
急性硫化氢中毒,Treatment_of_department,肺
急性硫化氢中毒,Treatment_of_department,全身
强酸类中毒,Treatment_of_department,全身
小儿急性中毒,Treatment_of_department,全身
吡唑酮类中毒,Treatment_of_department,全身
小儿感染性休克,Treatment_of_department,全身
肱骨远端全骨骺分离,Treatment_of_department,肩部
肱骨远端全骨骺分离,Treatment_of_department,上肢骨
肱骨远端全骨骺分离,Treatment_of_department,关节
寇热,Treatment_of_department,全身
寇热,Treatment_of_department,肌肉
寇热,Treatment_of_department,全身
输精管缺如,Treatment_of_department,输精管
四川并殖吸虫病,Treatment_of_department,皮肤
四川并殖吸虫病,Treatment_of_department,肝
四川并殖吸虫病,Treatment_of_department,肺
短膜壳绦虫病,Treatment_of_department,肠
短膜壳绦虫病,Treatment_of_department,全身
食物变应性和不耐受性,Treatment_of_department,全身
拟除虫菊类农药中毒,Treatment_of_department,全身
老年人病毒性肝炎,Treatment_of_department,肝
医源性胆管损伤,Treatment_of_department,胆
气管闭合性损伤,Treatment_of_department,气管
庚型病毒性肝炎,Treatment_of_department,肝
暴发性肝炎样综合征,Treatment_of_department,肝
暴发性肝炎样综合征,Treatment_of_department,全身
细粒棘球蚴病,Treatment_of_department,肠
细粒棘球蚴病,Treatment_of_department,肝
细粒棘球蚴病,Treatment_of_department,颅脑
乙型肝炎抗原血症,Treatment_of_department,肝
乙型肝炎抗原血症,Treatment_of_department,免疫系统
外伤性硬脑膜下积液,Treatment_of_department,颅脑
钡中毒,Treatment_of_department,全身
弯曲菌肠炎,Treatment_of_department,胃
弯曲菌肠炎,Treatment_of_department,肠
弯曲菌肠炎,Treatment_of_department,全身
老年人糖尿病酮症酸中毒,Treatment_of_department,胰腺
老年人糖尿病酮症酸中毒,Treatment_of_department,全身
烧伤休克,Treatment_of_department,全身
胸、腰椎爆裂骨折,Treatment_of_department,胸部
胸、腰椎爆裂骨折,Treatment_of_department,腰部
胸、腰椎爆裂骨折,Treatment_of_department,脊柱
硼酸中毒,Treatment_of_department,全身
闭合性脊髓损伤,Treatment_of_department,脊髓
杀虫脒中毒,Treatment_of_department,全身
自缢,Treatment_of_department,全身
巴顿骨折,Treatment_of_department,前臂
巴顿骨折,Treatment_of_department,上肢骨
软产道异常性难产,Treatment_of_department,子宫
镍中毒,Treatment_of_department,全身
老年人心脏猝死,Treatment_of_department,心脏
肾上腺能性荨麻疹,Treatment_of_department,皮肤
肾上腺能性荨麻疹,Treatment_of_department,肾上腺
蜂螫伤,Treatment_of_department,皮肤
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,肠
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,肠系膜
小肠结肠炎耶尔森菌肠炎,Treatment_of_department,全身
真菌性食物中毒,Treatment_of_department,全身
股动脉损伤,Treatment_of_department,大腿
股动脉损伤,Treatment_of_department,血液血管
肺炎球菌脑膜炎,Treatment_of_department,颅脑
肺炎球菌脑膜炎,Treatment_of_department,肺
肺炎链球菌性肺炎,Treatment_of_department,肺
肠出血性大肠埃希杆菌感染,Treatment_of_department,肠
外伤性脾破裂,Treatment_of_department,脾
麻黄碱中毒,Treatment_of_department,全身
胸、腰椎椎体单纯性、楔形压缩骨折,Treatment_of_department,胸部
胸、腰椎椎体单纯性、楔形压缩骨折,Treatment_of_department,腰部
胸、腰椎椎体单纯性、楔形压缩骨折,Treatment_of_department,脊柱
踝部急性韧带损伤,Treatment_of_department,肌肉
踝部急性韧带损伤,Treatment_of_department,足部
曼陀罗中毒,Treatment_of_department,全身
足舟骨骨折,Treatment_of_department,下肢骨
足舟骨骨折,Treatment_of_department,足部
水俣病,Treatment_of_department,其他
人类疱疹病毒6，7，8型感染性疾病,Treatment_of_department,其他
小儿汞中毒,Treatment_of_department,全身
中毒性眩晕,Treatment_of_department,耳
中毒性眩晕,Treatment_of_department,全身
乙醚中毒,Treatment_of_department,全身
盖氏骨折,Treatment_of_department,前臂
盖氏骨折,Treatment_of_department,上肢骨
盖氏骨折,Treatment_of_department,关节
鱼胆中毒,Treatment_of_department,全身
副溶血性弧菌食物中毒,Treatment_of_department,胃
副溶血性弧菌食物中毒,Treatment_of_department,肠
副溶血性弧菌食物中毒,Treatment_of_department,全身
舟骨骨折,Treatment_of_department,手部
舟骨骨折,Treatment_of_department,上肢骨
舟骨骨折,Treatment_of_department,关节
膝外侧韧带损伤,Treatment_of_department,膝部
膝外侧韧带损伤,Treatment_of_department,关节
花粉过敏性哮喘,Treatment_of_department,肺
花粉过敏性哮喘,Treatment_of_department,气管
脊柱脊髓伤,Treatment_of_department,脊柱
脊柱脊髓伤,Treatment_of_department,骨髓
尺桡骨骨干双骨折,Treatment_of_department,前臂
尺桡骨骨干双骨折,Treatment_of_department,上肢骨
咖啡因与氨茶碱中毒,Treatment_of_department,全身
踝关节脱位,Treatment_of_department,关节
踝关节脱位,Treatment_of_department,足部
新生儿中毒性红斑,Treatment_of_department,皮肤
高锰酸钾中毒,Treatment_of_department,全身
老年人多器官功能衰竭,Treatment_of_department,全身
福尔马林中毒,Treatment_of_department,全身
胃肠型食物中毒,Treatment_of_department,胃
胃肠型食物中毒,Treatment_of_department,肠
小儿心力衰竭,Treatment_of_department,心脏
小儿心力衰竭,Treatment_of_department,全身
中枢神经兴奋药中毒,Treatment_of_department,颅脑
急性中毒性脑炎,Treatment_of_department,颅脑
老年人重症肌无力,Treatment_of_department,周围神经系统
老年人重症肌无力,Treatment_of_department,免疫系统
汽油中毒,Treatment_of_department,全身
髌腱断裂,Treatment_of_department,膝部
髌腱断裂,Treatment_of_department,关节
铁线虫病,Treatment_of_department,膀胱
铁线虫病,Treatment_of_department,尿道
阿片类药物中毒,Treatment_of_department,全身
老年低温症,Treatment_of_department,全身
巨大胎儿,Treatment_of_department,子宫
维生素A中毒症,Treatment_of_department,全身
布氏菌病,Treatment_of_department,全身
布氏菌病,Treatment_of_department,关节
颈椎骨折脱位,Treatment_of_department,颈部
颈椎骨折脱位,Treatment_of_department,脊柱
二氧化硫中毒,Treatment_of_department,全身
羊膜带综合征,Treatment_of_department,子宫
硬脑膜下血肿,Treatment_of_department,颅脑
毒蕈中毒,Treatment_of_department,全身
产科播散性血管内凝血,Treatment_of_department,血液血管
急性失血性贫血,Treatment_of_department,血液血管
肠毛滴虫病,Treatment_of_department,肠
高原肺水肿,Treatment_of_department,肺
股四头肌肌腱断裂,Treatment_of_department,膝部
股四头肌肌腱断裂,Treatment_of_department,关节
肠侵袭性大肠埃希杆菌感染,Treatment_of_department,肠
铋中毒,Treatment_of_department,全身
不动杆菌感染,Treatment_of_department,肺
不动杆菌感染,Treatment_of_department,皮肤
不动杆菌感染,Treatment_of_department,全身
神经型食物中毒,Treatment_of_department,全身
肱骨头骨折,Treatment_of_department,上臂
肱骨头骨折,Treatment_of_department,上肢骨
肱骨头骨折,Treatment_of_department,关节
四氯化碳中毒,Treatment_of_department,全身
药物性心肌病,Treatment_of_department,心脏
吸入性损伤,Treatment_of_department,肺
婴儿猝死综合征,Treatment_of_department,全身
伴齿状突骨折的寰枢椎前脱位,Treatment_of_department,颈部
伴齿状突骨折的寰枢椎前脱位,Treatment_of_department,脊柱
伴齿状突骨折的寰枢椎前脱位,Treatment_of_department,关节
手部血管损伤,Treatment_of_department,手部
手部血管损伤,Treatment_of_department,血液血管
下尺桡关节脱位,Treatment_of_department,前臂
下尺桡关节脱位,Treatment_of_department,上肢骨
下尺桡关节脱位,Treatment_of_department,关节
中毒性休克综合征,Treatment_of_department,全身
胫腓骨骨干骨折,Treatment_of_department,小腿
胫腓骨骨干骨折,Treatment_of_department,下肢骨
横位难产,Treatment_of_department,子宫
阿片中毒,Treatment_of_department,全身
日本血吸虫病,Treatment_of_department,肠
日本血吸虫病,Treatment_of_department,肝
日本血吸虫病,Treatment_of_department,全身
肱动脉损伤,Treatment_of_department,上臂
肱动脉损伤,Treatment_of_department,血液血管
变形杆菌食物中毒,Treatment_of_department,胃
变形杆菌食物中毒,Treatment_of_department,肠
变形杆菌食物中毒,Treatment_of_department,全身
水杨酸类中毒,Treatment_of_department,全身
老年人脱水,Treatment_of_department,全身
鱼肝中毒,Treatment_of_department,全身
维生素D中毒症,Treatment_of_department,全身
有机氯杀虫剂中毒,Treatment_of_department,全身
筋膜间隔区综合征,Treatment_of_department,肌肉
筋膜间隔区综合征,Treatment_of_department,周围神经系统
职业性哮喘,Treatment_of_department,肺
职业性哮喘,Treatment_of_department,气管
皮肤幼虫移行症,Treatment_of_department,皮肤
