name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
铜绿色假单胞菌脑膜炎,否,无传染性,抗感染治疗、手术治疗、中医...,30%,1-3个月,好发于青少年，以儿童多见,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
猛兽伤,否,无传染性,清创缝合,60%,3-6月,猛兽饲养员,约3000——20000元,健客大药房康德乐大药房阿康大药房
小儿出血性休克和脑病综合征,否,无传染性,Null,Null,Null,3～8个月之间的婴儿,Null,健客大药房康德乐大药房阿康大药房
小儿触电与雷击,否,无传染性,药物治疗、心肺复苏,90%,10天,儿童,市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
砷化氢引起的溶血性贫血,否,无传染性,中医药物治疗、西医药物治疗,20%,1--3月,所有人群,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
胎肥,否,无传染性,中医药物治疗,85%,1-3个月,新生儿,市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
婴儿肉毒中毒综合征,否,有传染性,对症治疗,70%,2-4月,婴儿,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
杜波组织胞浆菌病,否,无传染性,药物治疗,30%,2--8周,所有人群,市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
小儿水杨酸盐类中毒,否,无传染性,药物治疗,70%,3个月,婴幼儿,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
小儿片吸虫病,否,有传染性,西医药物治疗,50%,7-10天,小儿,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
克里米亚-刚果出血热,否,有传染性,中医药物治疗、西医药物治疗,30--50%,14--30天,野外工作者,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
溶组织内阿米巴病,否,有传染性,药物治疗、对症治疗、,50%,1-2个月,所有人群,不同医院收费标准不一致，市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
湄公血吸虫病,否,有传染性,药物治疗,30%,30天,所有人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
致肠细胞病变人孤儿病毒感染,否,有传染性,对症治疗,1%,10-30天,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
委内瑞拉马脑炎,否,有传染性,药物治疗,40%,1个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
棘阿米巴性巩膜炎,否,无传染性,药物治疗,60%,7--14天,所有人群,市三甲医院约300--800,健客大药房康德乐大药房阿康大药房
棉子中毒,否,无传染性,药物治疗,20%,7--21天,所有人群,不同医院收费标准不一致，市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
腹腔肺吸虫病,否,有传染性,药物治疗、手术治疗,40%-60%,1-3个月,所有人群,市三甲医院约10000--50000,健客大药房康德乐大药房阿康大药房
立氏立克次体斑疹热,否,有传染性,中医药物治疗、西医药物治疗,80%,2-4月,儿童,市三甲医院约（5000——20000元,健客大药房康德乐大药房阿康大药房
战壕热,否,有传染性,药物治疗、对症治疗,70-80%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
女性阳虚,否,无传染性,Null,Null,Null,女性,Null,健客大药房康德乐大药房阿康大药房
走哺,否,无传染性,中医药物治疗、西医药物治疗,80%,3--10天,幼儿,市三甲医院约（500——5000元）,健客大药房康德乐大药房阿康大药房
疫黄,否,有传染性,药物治疗,100%,Null,所有人,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
肉痹,否,无传染性,Null,Null,Null,可见于任何年龄，但以中年以...,Null,健客大药房康德乐大药房阿康大药房
天柱倒,否,无传染性,药物治疗,100%,Null,小儿发育不全.或年老体弱者,市三甲医院约（3000—5000元）,健客大药房康德乐大药房阿康大药房
暑瘵,否,无传染性,药物治疗,85%,1-2周,所有人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
六瘤,否,无传染性,手术治疗,70%,1-3个月,所有人群,市三甲医院约(5000-10000元),健客大药房康德乐大药房阿康大药房
振栗,否,无传染性,中医药物治疗,60%,2-4月,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
肢骨纹状肥大,否,无传染性,物理疗法、对症治疗、手术治...,外科手术治愈率约为55%-65%,1-2个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
肝性胸腔积液,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
吐失,否,无传染性,粘液性水肿、糖尿病、嗜铬细...,60-80%,2-4周,所有人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
小儿发育性髋脱位,否,无传染性,保守治疗、手术治疗,70%,1-3个月,婴幼儿,不同医院收费标准不一致，市三甲医院约（3000——7000元）,健客大药房康德乐大药房阿康大药房
耻骨结核,是,有传染性,药物治疗,95%,Null,育龄妇女,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
咽后壁憩室,否,无传染性,手术治疗,40%,1-2个月,中老年男性,不同医院收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
脐尿管囊肿及脐尿管瘘,否,无传染性,Null,Null,Null,小儿,Null,健客大药房康德乐大药房阿康大药房
α1-抗胰蛋白酶缺乏症,否,无传染性,Null,Null,Null,新生儿婴幼儿成人,Null,健客大药房康德乐大药房阿康大药房
腕关节结核,是,有传染性,药物治疗,75%,Null,青壮年,市三甲医院约2000-3000元,健客大药房康德乐大药房阿康大药房
肠伤寒穿孔,否,有传染性,手术治疗、药物治疗,91.3%,15天,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
小螺菌感染,否,无传染性,药物疗法,40%,2-3个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
二尖瓣和主动脉瓣的疾患,否,无传染性,药物治疗,65%-75%,4-6周,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
瘴疟,否,有传染性,药物治疗,60%,4周,所有人群,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
鄂木斯克出血热,否,有传染性,药物治疗,20--40%,2--6周,所有人群,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
脊椎外伤,否,无传染性,手术治疗、固定制动、药物治...,30%,1-3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
荚膜组织胞浆菌病,是,有传染性,药物治疗,60-70%,3-6个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
骨包囊虫病,否,有传染性,药物治疗,95%,Null,牧区人,市三甲医院约（3000—8000元）,健客大药房康德乐大药房阿康大药房
苏格兰脑炎,否,有传染性,支持治疗、对症治疗,85%,2-4月,所有人群,市三甲医院约（4000——8000元）,健客大药房康德乐大药房阿康大药房
肾盏积水,否,无传染性,药物治疗、手术治疗,85%,2-4月,所有人群,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
西方马型脑炎,否,有传染性,支持治疗、对症治疗,50%,1年,所有人群,市三甲医院约（50000——80000元）,健客大药房康德乐大药房阿康大药房
急性感染性心内膜炎,否,无传染性,药物治疗,70%,3-6个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
椎弓结核,否,有传染性,药物治疗、手术治疗,70%,3个月,有结核病者较常见,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
巨吻棘头虫病,是,有传染性,药物治疗,85%,1-3月,儿童,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
小儿埃可及柯萨奇病毒感染,否,有传染性,中医治疗支持治疗,75%,1-3个月,小儿,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
透明丝孢霉病,否,无传染性,中医药物治疗、西医药物治疗,85%,2-4周,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
小儿其他沙门菌感染,否,有传染性,药物治疗、对症支持治疗,98%,2-6周,小儿,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
肋锁综合征,否,无传染性,手术治疗,75%,3-6个月,青壮年较多见,不同医院收费标准不一致，市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
小儿肝炎再生障碍性贫血综合征,否,无传染性,Null,Null,Null,儿童及青年,Null,健客大药房康德乐大药房阿康大药房
羌虫病,否,有传染性,药物治疗,70-80%,Null,从事野外劳动，较多接触丛林...,市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
小儿丁型病毒性肝炎,否,有传染性,药物治疗,无法治愈,终身治疗,婴幼儿,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
异尖线吸虫蚴移行症,否,无传染性,药物治疗、手术治疗,外科手术治愈率约40%,3-6个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
衣原体感染,是,有传染性,药物治疗,80%,Null,所有人,市三甲医院约（3000--5000元）,健客大药房康德乐大药房阿康大药房
小儿埃博拉病毒病,否,有传染性,药物治疗、中药治疗,Null,1-2年,儿童人群,不同医院收费标准不一致，市三甲医院约10000--30000,健客大药房康德乐大药房阿康大药房
脱阳,否,无传染性,停止手淫、补充糖分,70%,1-3个月,青少年等不节制手淫、性生活...,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
生殖道肿瘤,否,无传染性,手术治疗,外科手术治愈率约为75%-85%,1-3个月,中年女性,市三甲医院约（10000-15000元）,健客大药房康德乐大药房阿康大药房
男科外伤,否,无传染性,手术治疗、中医药物治疗、西...,80--95%,7--14天,外伤患者,市三甲医院约(8000--15000元),健客大药房康德乐大药房阿康大药房
睾丸女性化,否,无传染性,手术治疗、西医药物治疗,10%,30天,原发性闭经患者较多见,市三甲医院约（15000——40000元）,健客大药房康德乐大药房阿康大药房
前列腺异位,否,无传染性,手术治疗,50-70%(外科手术治疗),3-6个月,老年男性,市三甲医院约(30000--50000元),健客大药房康德乐大药房阿康大药房
嵌顿包茎,否,无传染性,手术治疗,80%(外科手术治疗),2-4周,各年龄段男性人群尤以儿童多...,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
中老年男子部分性雄激素缺乏综合征,否,无传染性,药物治疗,80%,30天,中老年男性人群,市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
性功能异常伴发的精神障碍,否,无传染性,心理治疗、药物治疗,50-70%,1-3年,成年人,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
男性青春期发育延迟,否,无传染性,饮食调理、药物治疗,75%,1-2年,营养不良的男性青年多见,市三甲医院约1000--5000,健客大药房康德乐大药房阿康大药房
阴茎阴囊象皮肿,否,有传染性,药物治疗、手术治疗,15%,Null,男性,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
阴茎折断,否,无传染性,药物治疗、手术治疗,治愈率99%,手术治疗周期7天,男性,市三甲医院约(5000-10000元),健客大药房康德乐大药房阿康大药房
先天性无阴道,是,无传染性,手术治疗,10%,10天,女性,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
无精症,否,无传染性,中医药物治疗,30%,1-3年,成年育龄男性,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
前庭大腺炎,是,无传染性,药物治疗,治愈率93%,治疗周期10天,成年女性,不同医院收费标准不一致，市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
输精管堵塞,否,无传染性,中医药物治疗,65%,1-2年,成年男性人群,市三甲医院约（500-3000元）,健客大药房康德乐大药房阿康大药房
染色体异常,是,无传染性,中医药物治疗、西医药物治疗...,3%,1-2个月,所有人群,市三甲医院约(10000--20000元),健客大药房康德乐大药房阿康大药房
少精症,否,无传染性,中医药物治疗,50-70%,Null,男性,市三甲医院约（8000-60000元）,健客大药房康德乐大药房阿康大药房
非性病性梅毒,否,有传染性,药物治疗,80%,1-3个月,由螺旋体引起的地方流行性疾...,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
男性生殖器畸形,否,无传染性,手术治疗,40%,1个月,大部分先天性发病,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
处女膜闭锁,是,无传染性,手术治疗,98%,3天,青春期女孩,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
真两性畸形,是,无传染性,手术治疗,手术治疗，切除卵巢或者睾丸，治愈率30-70%,1-3年,婴幼儿，倾向于男性，约3/4的...,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
不射精症,否,无传染性,药物治疗、手术治疗,80%,3-6月,男性,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
子宫脱垂,是,无传染性,药物治疗,外科手术治愈率约为60-70%,8-12周,女性人群,不同医院收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
精囊囊肿,是,无传染性,药物治疗、手术治疗,99%,3-8周,中青年男性,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
男性生殖器外伤,否,无传染性,手术治疗、再植、中医药物治...,60%,7-10天,成年男性,不同医院收费标准不一致，市三甲医院约（2000——6000元）,健客大药房康德乐大药房阿康大药房
男性假两性畸形,否,无传染性,中医药物治疗、西医药物治疗...,10%,14--30天,婴幼儿,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
死精症,否,无传染性,中医药物治疗,20-40%,5-10年,青年男性,不同医院收费标准不一致，市三甲医院约（8000-10000元）,健客大药房康德乐大药房阿康大药房
阴道横隔,是,无传染性,手术治疗,70%,7-14天,所有女性性可见,不同医院收费标准不一致，市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
前列腺囊肿,是,无传染性,手术治疗、药物治疗,95%,7天,成年男性,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
先天性睾丸发育不全,是,无传染性,药物治疗，手术治疗,50%,1个月,男性于青春期或成年期时方出...,市三甲医院约(5000-20000元),健客大药房康德乐大药房阿康大药房
双阴茎,否,无传染性,手术治疗,外科手术治愈率约为60%,1-3个月,先天性疾病，婴幼儿多见,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
膀胱尿道异物,否,无传染性,手术治疗、药物治疗,80%,2--5天,做过手术或是小儿多见,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
子宫性不孕,否,无传染性,手术治疗、药物治疗,60%,Null,女性人群,市三甲医院约（1000——8000元）,健客大药房康德乐大药房阿康大药房
睾丸损伤,否,无传染性,手术治疗,50-70%,7--14天,青壮年多发,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
无排卵性不孕症,否,无传染性,中医药物治疗、西医药物治疗,40--50%,1--6个月,育龄期妇女,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
阴茎扭转,是,无传染性,手术治疗,80%,1-2周,男性,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
子宫畸形,否,无传染性,手术治疗,10%,7-14天,育龄妇女,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
输卵管炎,是,无传染性,药物治疗,60-80%,1-3个月,育龄期女性,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
隐匿阴茎,否,无传染性,手术治疗,80%,5-6月,肥胖儿童,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
卵巢性不孕,否,无传染性,一般疗法、药物疗法、手术疗...,98%,Null,中青年多见,市三甲医院约3000-10000元,健客大药房康德乐大药房阿康大药房
外阴阴道性不孕,否,无传染性,Null,Null,Null,育龄期女性,Null,健客大药房康德乐大药房阿康大药房
宫颈性不孕,否,无传染性,Null,Null,Null,育龄女性,Null,健客大药房康德乐大药房阿康大药房
阴囊损伤,是,无传染性,物理治疗、手术治疗,85%,1-2个月,青年人,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
两性畸形,是,无传染性,手术治疗,外科手术治愈率约为40-50%，具体应根据畸形的严重程度决定,3-6个月,所有人群,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
输卵管性不孕,否,无传染性,药物治疗、手术治疗,80%,Null,育龄妇女多见,500-1000元,健客大药房康德乐大药房阿康大药房
免疫性不孕,否,无传染性,药物治疗,60%,Null,女性人群,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
霉菌性龟头炎,否,有传染性,Null,Null,Null,多好发于20～50岁之间的青壮...,Null,健客大药房康德乐大药房阿康大药房
阴茎离断伤,是,无传染性,手术治疗,60%,6月,中青年多发,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
蹼状阴茎,否,无传染性,手术治疗,外科手术治愈率约为65%,1-2年，部分病例需多次矫正,多是先天性畸形,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
输卵管结核,是,有传染性,手术治疗、抗结核治疗,外科手术治愈率约为70%,2-3年,既往有结核病史的女性患者多...,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
多睾症,否,无传染性,手术治疗,30%,21--30天,新生儿,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
附睾畸形,否,无传染性,药物治疗、手术治疗,治愈率76%,手术治疗周期7天,新生儿,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
特纳综合征,是,无传染性,药物治疗、手术治疗,10%,1-6个月,女性,市三甲医院约(5000-10000元),健客大药房康德乐大药房阿康大药房
小儿戊型病毒性肝炎,否,有传染性,药物治疗,60%,30天,儿童人群,不同医院收费标准不一致，市三甲医院约6000--12000,健客大药房康德乐大药房阿康大药房
小儿乙型肝炎病毒相关肾炎,否,无传染性,药物治疗,40%,3个月,儿童,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
小儿丙型病毒性肝炎,否,有传染性,药物治疗,0.0003%,3年,儿童人群,不同医院收费标准不一致，市三甲医院约40000--60000,健客大药房康德乐大药房阿康大药房
等孢球虫病,否,有传染性,药物治疗,30%,1-2个月,所有人群,市三甲医院约300-6000元,健客大药房康德乐大药房阿康大药房
中毒性高铁血红蛋白血症,否,无传染性,药物治疗,95%,1-2周,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
集聚肠杆菌感染,否,无传染性,药物治疗,60-70%,4-8周,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
锑中毒,否,无传染性,洗胃、药物治疗,85%以上,2-4周,儿童,不同医院收费标准不一致，市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
卫氏并殖吸虫病,否,有传染性,药物治疗,45%-65%,8-12周,所有人群,市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
前臂动脉损伤,否,无传染性,手术治疗,60%,1-3个月,所有人群,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
敌鼠中毒,否,无传染性,催吐、洗胃、导泻、药物治疗,60%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
新生儿休克,是,无传染性,支持治疗、药物治疗,99%,7天,新生儿,不同医院收费标准不一致，市三甲医院约（2000——4000元）,健客大药房康德乐大药房阿康大药房
