illness_name,regular_medication,medication_name
葡萄球菌中毒性休克综合征,Treatment_of_department,青霉素V钾片
原发性阿米巴脑膜脑炎,Treatment_of_department,两性霉素B
男性不育,Treatment_of_department,壮阳春胶囊
男性不育,Treatment_of_department,云芝糖肽胶囊
男性不育,Treatment_of_department,仙鹿口服液
子宫内膜异位症,Treatment_of_department,妇炎净胶囊
子宫内膜异位症,Treatment_of_department,痛经宝颗粒
子宫内膜异位症,Treatment_of_department,复方醋酸棉酚片
不孕症,Treatment_of_department,麒麟丸
不孕症,Treatment_of_department,天紫红女金胶囊
不孕症,Treatment_of_department,地屈孕酮片
性冷淡,Treatment_of_department,震动式避孕套
性冷淡,Treatment_of_department,龟鹿补肾丸
性冷淡,Treatment_of_department,补肾斑龙片
小儿霉甘蔗中毒,Treatment_of_department,头孢氨苄
宫外孕,Treatment_of_department,人绒毛膜促性腺激素（HCG）双值检测试纸（胶体金法）
宫外孕,Treatment_of_department,米索前列醇片
宫外孕,Treatment_of_department,产复康颗粒
生殖器疱疹,Treatment_of_department,泛昔洛韦片
生殖器疱疹,Treatment_of_department,重组人干扰素α-2b凝胶
生殖器疱疹,Treatment_of_department,疣迪搽剂
乙酰苯胺类中毒,Treatment_of_department,注射用鼠神经生长因子
乙酰苯胺类中毒,Treatment_of_department,多烯磷脂酰胆碱注射液
乙酰苯胺类中毒,Treatment_of_department,盐酸丙哌维林片
细菌性阴道炎,Treatment_of_department,硝呋太尔制霉素阴道软胶囊
细菌性阴道炎,Treatment_of_department,保妇康栓
细菌性阴道炎,Treatment_of_department,舒安卫生栓
包皮龟头炎,Treatment_of_department,硼酸洗液
包皮龟头炎,Treatment_of_department,高锰酸钾
包皮龟头炎,Treatment_of_department,磷霉素氨丁三醇散
艾滋病,Treatment_of_department,更昔洛韦胶囊
艾滋病,Treatment_of_department,更昔洛韦注射液
艾滋病,Treatment_of_department,齐多夫定注射液
羰基镍中毒,Treatment_of_department,注射用鼠神经生长因子
小儿阿托品类中毒,Treatment_of_department,地塞米松磷酸钠注射液
小儿阿托品类中毒,Treatment_of_department,硝酸毛果芸香碱注射液
小儿阿托品类中毒,Treatment_of_department,盐酸利多卡因注射液
早泄,Treatment_of_department,前列回春胶囊
早泄,Treatment_of_department,他达拉非片
早泄,Treatment_of_department,金水宝胶囊
外伤性胆管损伤,Treatment_of_department,消炎利胆片
外伤性胆管损伤,Treatment_of_department,注射用单唾液酸四己糖神经节苷脂钠
外伤性胆管损伤,Treatment_of_department,肾上腺色腙片
阳痿,Treatment_of_department,枸橼酸西地那非片
阳痿,Treatment_of_department,金水宝胶囊
粗制棉子油中毒,Treatment_of_department,布美他尼片
粗制棉子油中毒,Treatment_of_department,二巯基丙磺酸钠
枢椎齿突骨折,Treatment_of_department,云南白药胶囊
枢椎齿突骨折,Treatment_of_department,伤科接骨片
氯喹中毒,Treatment_of_department,碳酸氢钠
氯喹中毒,Treatment_of_department,葡萄糖
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,甲氨蝶呤片
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,甲磺酸双氢麦角毒碱片
铜绿色假单胞菌脑膜炎,Treatment_of_department,伊曲康唑胶囊
铜绿色假单胞菌脑膜炎,Treatment_of_department,氨苄西林胶囊
猛兽伤,Treatment_of_department,十全大补丸(水丸)
猛兽伤,Treatment_of_department,盐酸异丙肾上腺素注射液
小儿出血性休克和脑病综合征,Treatment_of_department,氯化钠注射液
小儿触电与雷击,Treatment_of_department,氯化钠注射液
砷化氢引起的溶血性贫血,Treatment_of_department,硫唑嘌呤片
砷化氢引起的溶血性贫血,Treatment_of_department,叶酸片
胎肥,Treatment_of_department,连翘败毒丸
婴儿肉毒中毒综合征,Treatment_of_department,小儿化痰止咳颗粒
婴儿肉毒中毒综合征,Treatment_of_department,枯草杆菌二联活菌颗粒
杜波组织胞浆菌病,Treatment_of_department,阿莫西林双氯西林钠胶囊
小儿水杨酸盐类中毒,Treatment_of_department,盐酸利多卡因注射液
小儿片吸虫病,Treatment_of_department,吡喹酮片
小儿片吸虫病,Treatment_of_department,马洛替酯片
克里米亚-刚果出血热,Treatment_of_department,六经头痛片
克里米亚-刚果出血热,Treatment_of_department,天麻素胶囊
溶组织内阿米巴病,Treatment_of_department,奥硝唑片(薄膜衣片)
溶组织内阿米巴病,Treatment_of_department,奥硝唑片
溶组织内阿米巴病,Treatment_of_department,奥硝唑分散片
湄公血吸虫病,Treatment_of_department,吡喹酮片
湄公血吸虫病,Treatment_of_department,马洛替酯缓释片
湄公血吸虫病,Treatment_of_department,马洛替酯片
致肠细胞病变人孤儿病毒感染,Treatment_of_department,转移因子口服溶液
致肠细胞病变人孤儿病毒感染,Treatment_of_department,肠炎宁片
委内瑞拉马脑炎,Treatment_of_department,盐酸替扎尼定片
棘阿米巴性巩膜炎,Treatment_of_department,双氯芬酸钠滴眼液
棘阿米巴性巩膜炎,Treatment_of_department,氟米龙滴眼液
棉子中毒,Treatment_of_department,复方五指柑片
棉子中毒,Treatment_of_department,秘诀清凉散
腹腔肺吸虫病,Treatment_of_department,吡喹酮片
腹腔肺吸虫病,Treatment_of_department,苯妥英钠片
立氏立克次体斑疹热,Treatment_of_department,盐酸美他环素片
立氏立克次体斑疹热,Treatment_of_department,四环素片
立氏立克次体斑疹热,Treatment_of_department,氯霉素胶囊
战壕热,Treatment_of_department,注射用克林霉素磷酸酯
战壕热,Treatment_of_department,诺氟沙星胶囊
女性阳虚,Treatment_of_department,十一酸睾酮胶丸
走哺,Treatment_of_department,六味丁香片
走哺,Treatment_of_department,大温中丸
肉痹,Treatment_of_department,散痛舒片
肉痹,Treatment_of_department,散痛舒胶囊
肢骨纹状肥大,Treatment_of_department,骨刺消痛胶囊
肢骨纹状肥大,Treatment_of_department,抗骨增生片
肝性胸腔积液,Treatment_of_department,注射用重组人白介素-2
肝性胸腔积液,Treatment_of_department,注射用A群链球菌
小儿发育性髋脱位,Treatment_of_department,跳骨片
耻骨结核,Treatment_of_department,利福平片
咽后壁憩室,Treatment_of_department,利咽灵片
咽后壁憩室,Treatment_of_department,兰索拉唑肠溶片
脐尿管囊肿及脐尿管瘘,Treatment_of_department,小儿双磺甲氧苄啶颗粒
脐尿管囊肿及脐尿管瘘,Treatment_of_department,小儿复方磺胺甲噁唑片
腕关节结核,Treatment_of_department,风湿关节酒
腕关节结核,Treatment_of_department,牛痘疫苗致炎兔皮提取物注射液
肠伤寒穿孔,Treatment_of_department,阿莫西林胶囊
肠伤寒穿孔,Treatment_of_department,盐酸左氧氟沙星胶囊
小螺菌感染,Treatment_of_department,氯霉素胶囊
小螺菌感染,Treatment_of_department,诺氟沙星胶囊
二尖瓣和主动脉瓣的疾患,Treatment_of_department,注射用硝普钠
二尖瓣和主动脉瓣的疾患,Treatment_of_department,硝酸甘油片
瘴疟,Treatment_of_department,九龙化风丸
鄂木斯克出血热,Treatment_of_department,鞣酸苦参碱胶囊
鄂木斯克出血热,Treatment_of_department,小儿腹泻贴
脊椎外伤,Treatment_of_department,醋氯芬酸片
脊椎外伤,Treatment_of_department,奥沙普秦肠溶片
脊椎外伤,Treatment_of_department,奥沙普秦分散片
荚膜组织胞浆菌病,Treatment_of_department,伊曲康唑胶囊
骨包囊虫病,Treatment_of_department,骨痛灵酊
骨包囊虫病,Treatment_of_department,骨痛药酒
骨包囊虫病,Treatment_of_department,云香祛风止痛酊(云香精)
苏格兰脑炎,Treatment_of_department,盐酸替扎尼定片
肾盏积水,Treatment_of_department,金匮肾气片
肾盏积水,Treatment_of_department,金甲排石胶囊
西方马型脑炎,Treatment_of_department,七十味珍珠丸
西方马型脑炎,Treatment_of_department,丹曲林钠胶囊
急性感染性心内膜炎,Treatment_of_department,琥乙红霉素胶囊
急性感染性心内膜炎,Treatment_of_department,氨苄西林胶囊
急性感染性心内膜炎,Treatment_of_department,琥乙红霉素片
椎弓结核,Treatment_of_department,脊柱牵引床
椎弓结核,Treatment_of_department,利福平胶囊
巨吻棘头虫病,Treatment_of_department,盐酸左旋咪唑糖浆
巨吻棘头虫病,Treatment_of_department,阿苯达唑颗粒
小儿埃可及柯萨奇病毒感染,Treatment_of_department,利巴韦林注射液
小儿埃可及柯萨奇病毒感染,Treatment_of_department,利巴韦林葡萄糖注射液
透明丝孢霉病,Treatment_of_department,氯霉素胶囊
透明丝孢霉病,Treatment_of_department,诺氟沙星胶囊
小儿其他沙门菌感染,Treatment_of_department,诺氟沙星胶囊
小儿其他沙门菌感染,Treatment_of_department,盐酸左氧氟沙星胶囊
小儿其他沙门菌感染,Treatment_of_department,氟罗沙星胶囊
肋锁综合征,Treatment_of_department,醋氯芬酸片
肋锁综合征,Treatment_of_department,布洛芬缓释胶囊
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,甘露聚糖肽片
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,注射用胸腺肽
羌虫病,Treatment_of_department,甲硝唑
羌虫病,Treatment_of_department,二十五味鬼臼丸
羌虫病,Treatment_of_department,双羟萘酸噻嘧啶
小儿丁型病毒性肝炎,Treatment_of_department,莪术油注射液
小儿丁型病毒性肝炎,Treatment_of_department,肌苷片
小儿丁型病毒性肝炎,Treatment_of_department,胸腺肽肠溶片
异尖线吸虫蚴移行症,Treatment_of_department,阿苯达唑片
衣原体感染,Treatment_of_department,罗红霉素胶囊
衣原体感染,Treatment_of_department,罗红霉素分散片
小儿埃博拉病毒病,Treatment_of_department,注射用克林霉素磷酸酯
小儿埃博拉病毒病,Treatment_of_department,诺氟沙星胶囊
生殖道肿瘤,Treatment_of_department,艾迪注射液
生殖道肿瘤,Treatment_of_department,止痛化癥胶囊
睾丸女性化,Treatment_of_department,雌二醇(E2)诊断试剂盒(化学发光法)
前列腺异位,Treatment_of_department,前列腺保护素
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,安乐片
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,更年安片
性功能异常伴发的精神障碍,Treatment_of_department,地屈孕酮片
性功能异常伴发的精神障碍,Treatment_of_department,更年安片
男性青春期发育延迟,Treatment_of_department,次硝酸铋
男性青春期发育延迟,Treatment_of_department,甘草锌颗粒
男性青春期发育延迟,Treatment_of_department,葡萄糖酸锌颗粒
阴茎阴囊象皮肿,Treatment_of_department,盐酸左旋咪唑肠溶片
阴茎阴囊象皮肿,Treatment_of_department,盐酸左旋咪唑片
阴茎折断,Treatment_of_department,阿莫西林胶囊
阴茎折断,Treatment_of_department,阿莫西林克拉维酸钾干混悬剂
先天性无阴道,Treatment_of_department,甲硝唑阴道泡腾片
先天性无阴道,Treatment_of_department,克霉唑阴道片
无精症,Treatment_of_department,生精胶囊
无精症,Treatment_of_department,五子衍宗片
前庭大腺炎,Treatment_of_department,抗妇炎胶囊
前庭大腺炎,Treatment_of_department,抗宫炎片
前庭大腺炎,Treatment_of_department,头孢地尼分散片
染色体异常,Treatment_of_department,甲磺酸伊马替尼片
染色体异常,Treatment_of_department,甲磺酸伊马替尼胶囊
少精症,Treatment_of_department,生精胶囊
少精症,Treatment_of_department,参雄温阳胶囊
少精症,Treatment_of_department,仙鹿口服液
非性病性梅毒,Treatment_of_department,大败毒胶囊
非性病性梅毒,Treatment_of_department,琥乙红霉素片
非性病性梅毒,Treatment_of_department,盐酸多西环素片
男性生殖器畸形,Treatment_of_department,鬼臼毒素酊
男性生殖器畸形,Treatment_of_department,叶酸片
处女膜闭锁,Treatment_of_department,桂枝茯苓胶囊
处女膜闭锁,Treatment_of_department,止痛化癥胶囊
不射精症,Treatment_of_department,他达拉非片
不射精症,Treatment_of_department,盐酸伐地那非片
子宫脱垂,Treatment_of_department,聚甲酚磺醛溶液
子宫脱垂,Treatment_of_department,黄芪颗粒
子宫脱垂,Treatment_of_department,酒石酸托特罗定片
精囊囊肿,Treatment_of_department,盐酸左旋咪唑肠溶片
精囊囊肿,Treatment_of_department,盐酸左旋咪唑片
男性生殖器外伤,Treatment_of_department,奥硝唑胶囊
男性生殖器外伤,Treatment_of_department,鬼臼毒素酊
死精症,Treatment_of_department,五子衍宗片
死精症,Treatment_of_department,壬苯醇醚栓
阴道横隔,Treatment_of_department,益母草胶囊
阴道横隔,Treatment_of_department,止痛化癥胶囊
前列腺囊肿,Treatment_of_department,桂枝茯苓胶囊
前列腺囊肿,Treatment_of_department,前列腺保护素
前列腺囊肿,Treatment_of_department,盐酸米诺环素胶囊
先天性睾丸发育不全,Treatment_of_department,丙酸睾酮
双阴茎,Treatment_of_department,益肾壮阳膏
双阴茎,Treatment_of_department,疏肝益阳胶囊
双阴茎,Treatment_of_department,盐酸达泊西汀片
膀胱尿道异物,Treatment_of_department,排石颗粒
膀胱尿道异物,Treatment_of_department,荡石片
膀胱尿道异物,Treatment_of_department,镍钛合金取石网篮
子宫性不孕,Treatment_of_department,ZPZ系列亿方妇科治疗仪
子宫性不孕,Treatment_of_department,地屈孕酮片
子宫性不孕,Treatment_of_department,注射用绒促性素
睾丸损伤,Treatment_of_department,头孢地尼分散片
睾丸损伤,Treatment_of_department,头孢呋辛酯胶囊
无排卵性不孕症,Treatment_of_department,注射用尿促性素
无排卵性不孕症,Treatment_of_department,注射用绒促性素
无排卵性不孕症,Treatment_of_department,甲磺酸溴隐亭片
子宫畸形,Treatment_of_department,妇炎净胶囊
子宫畸形,Treatment_of_department,益母草颗粒
子宫畸形,Treatment_of_department,栓塞微球体
输卵管炎,Treatment_of_department,土霉素片
输卵管炎,Treatment_of_department,盐酸多西环素片
卵巢性不孕,Treatment_of_department,GP系列特种光宫颈糜烂与盆腔炎治疗仪
卵巢性不孕,Treatment_of_department,ZPZ系列亿方妇科治疗仪
卵巢性不孕,Treatment_of_department,注射用高纯度尿促性素
外阴阴道性不孕,Treatment_of_department,硝呋太尔制霉素阴道软胶囊
外阴阴道性不孕,Treatment_of_department,克霉唑阴道片
外阴阴道性不孕,Treatment_of_department,硝呋太尔制霉菌素阴道软膏
宫颈性不孕,Treatment_of_department,GP系列特种光宫颈糜烂与盆腔炎治疗仪
宫颈性不孕,Treatment_of_department,ZPZ系列亿方妇科治疗仪
阴囊损伤,Treatment_of_department,盐酸左旋咪唑肠溶片
阴囊损伤,Treatment_of_department,盐酸左旋咪唑片
输卵管性不孕,Treatment_of_department,注射用盐酸克林霉素
输卵管性不孕,Treatment_of_department,奥硝唑氯化钠注射液
输卵管性不孕,Treatment_of_department,盐酸多西环素片
免疫性不孕,Treatment_of_department,免疫性不孕不育联检试剂盒(斑点酶联免疫法)
霉菌性龟头炎,Treatment_of_department,消糜栓
霉菌性龟头炎,Treatment_of_department,碳酸氢钠
霉菌性龟头炎,Treatment_of_department,红霉素软膏
输卵管结核,Treatment_of_department,对氨基水杨酸钠片
输卵管结核,Treatment_of_department,异烟肼片
输卵管结核,Treatment_of_department,大黄虫丸
多睾症,Treatment_of_department,炔雌醇
附睾畸形,Treatment_of_department,盐酸左氧氟沙星氯化钠注射液
附睾畸形,Treatment_of_department,注射用拉氧头孢钠
特纳综合征,Treatment_of_department,枸橼酸氯米芬胶囊
特纳综合征,Treatment_of_department,嫦娥加丽丸
特纳综合征,Treatment_of_department,炔雌醇片
小儿戊型病毒性肝炎,Treatment_of_department,莪术油注射液
小儿戊型病毒性肝炎,Treatment_of_department,珍熊胆丸
小儿戊型病毒性肝炎,Treatment_of_department,胸腺肽肠溶片
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,当飞利肝宁胶囊
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,阿德福韦酯片
小儿乙型肝炎病毒相关肾炎,Treatment_of_department,静注乙型肝炎人免疫球蛋白(pH4)
小儿丙型病毒性肝炎,Treatment_of_department,注射用重组人干扰素α2b
等孢球虫病,Treatment_of_department,乙酰螺旋霉素片
等孢球虫病,Treatment_of_department,阿苯达唑颗粒
中毒性高铁血红蛋白血症,Treatment_of_department,维生素C葡萄糖注射液
中毒性高铁血红蛋白血症,Treatment_of_department,维生素C片
集聚肠杆菌感染,Treatment_of_department,头孢克肟胶囊
集聚肠杆菌感染,Treatment_of_department,头孢氨苄甲氧苄啶胶囊
锑中毒,Treatment_of_department,注射用鼠神经生长因子
锑中毒,Treatment_of_department,多烯磷脂酰胆碱胶囊
卫氏并殖吸虫病,Treatment_of_department,阿苯达唑胶囊
卫氏并殖吸虫病,Treatment_of_department,阿苯达唑颗粒
前臂动脉损伤,Treatment_of_department,己酮可可碱缓释片
敌鼠中毒,Treatment_of_department,葡萄糖
敌鼠中毒,Treatment_of_department,维生素C
新生儿休克,Treatment_of_department,氯化钠注射液
新生儿休克,Treatment_of_department,人血白蛋白
新生儿休克,Treatment_of_department,呋塞米注射液
片吸虫病,Treatment_of_department,吡喹酮片
片吸虫病,Treatment_of_department,马洛替酯缓释片
片吸虫病,Treatment_of_department,马洛替酯片
肝炎双重感染,Treatment_of_department,苦参素片
肝炎双重感染,Treatment_of_department,甘草酸二铵胶囊
桡骨茎突骨折,Treatment_of_department,手足空心钉系统
桡骨茎突骨折,Treatment_of_department,云南白药胶囊
桡骨茎突骨折,Treatment_of_department,伤科接骨片
肝瘟,Treatment_of_department,安宫牛黄丸
肝瘟,Treatment_of_department,小柴胡颗粒
胫骨后唇骨折,Treatment_of_department,骨康胶囊
胫骨后唇骨折,Treatment_of_department,骨折挫伤胶囊
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,流感病毒裂解疫苗
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,复方甘草口服溶液
小儿嗜血性流行性感冒杆菌脑膜炎,Treatment_of_department,注射用头孢噻肟钠
颈椎单侧及双侧小关节脱位,Treatment_of_department,通络开痹片
颈椎单侧及双侧小关节脱位,Treatment_of_department,夏天无片
新生儿乙型肝炎,Treatment_of_department,雷贝拉唑钠肠溶片
新生儿乙型肝炎,Treatment_of_department,阿德福韦酯片
桡骨远端骨骺分离,Treatment_of_department,痛肿灵(酊剂)
桡骨远端骨骺分离,Treatment_of_department,养血荣筋丸
真菌中毒症,Treatment_of_department,注射用鼠神经生长因子
真菌中毒症,Treatment_of_department,多烯磷脂酰胆碱注射液
肝炎后综合征,Treatment_of_department,安神补心丸
肝炎后综合征,Treatment_of_department,转移因子胶囊
肝炎后综合征,Treatment_of_department,补肾强身片
丁肝,Treatment_of_department,抗乙肝转移因子口服液
丁肝,Treatment_of_department,甘草酸二铵胶囊
丁肝,Treatment_of_department,强肝胶囊
肝结核,Treatment_of_department,利福喷丁胶囊
肝结核,Treatment_of_department,异烟肼片
肝结核,Treatment_of_department,康复新液
急性乙肝,Treatment_of_department,苦参素片
急性乙肝,Treatment_of_department,肝必复软胶囊
急性乙肝,Treatment_of_department,甘草甜素片
铜中毒引起的溶血性贫血,Treatment_of_department,维生素E软胶囊(天然型)
铜中毒引起的溶血性贫血,Treatment_of_department,注射用腺苷钴胺
铜中毒引起的溶血性贫血,Treatment_of_department,叶酸片
急性黄疸型肝炎,Treatment_of_department,茵栀黄颗粒
急性黄疸型肝炎,Treatment_of_department,当飞利肝宁胶囊
急性黄疸型肝炎,Treatment_of_department,当飞利肝宁片
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,硝苯地平
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,卡托普利
丙型肝炎病毒感染与肾小球肾炎,Treatment_of_department,聚乙二醇干扰素α-2b注射液
肝炎,Treatment_of_department,恩替卡韦分散片
肝炎,Treatment_of_department,澳泰乐胶囊
肝炎,Treatment_of_department,护肝宁片
新生儿肝炎,Treatment_of_department,辅酶A
新生儿肝炎,Treatment_of_department,齐墩果酸片
新生儿肝炎,Treatment_of_department,鸡骨草肝炎颗粒
金黄色葡萄球菌脑膜炎,Treatment_of_department,伊曲康唑胶囊
金黄色葡萄球菌脑膜炎,Treatment_of_department,氨苄西林胶囊
金黄色葡萄球菌脑膜炎,Treatment_of_department,注射用头孢呋辛钠
铅中毒引起的溶血性贫血,Treatment_of_department,注射用腺苷钴胺
铅中毒引起的溶血性贫血,Treatment_of_department,维生素E软胶囊
铅中毒引起的溶血性贫血,Treatment_of_department,叶酸片
铍中毒,Treatment_of_department,维生素B1片
铍中毒,Treatment_of_department,多烯磷脂酰胆碱胶囊
铍中毒,Treatment_of_department,维生素C片
丙肝,Treatment_of_department,甘草酸二铵肠溶胶囊
丙肝,Treatment_of_department,注射用重组人干扰素α2a(酵母)
小儿一氧化碳中毒,Treatment_of_department,氨酪酸片
病毒性肝炎,Treatment_of_department,茵白肝炎颗粒
病毒性肝炎,Treatment_of_department,鸡骨草肝炎颗粒
病毒性肝炎,Treatment_of_department,甘草酸二铵胶囊
甲肝,Treatment_of_department,联苯双酯滴丸
甲肝,Treatment_of_department,当飞利肝宁胶囊
甲肝,Treatment_of_department,利巴韦林片
登革出血热,Treatment_of_department,地榆升白片
登革出血热,Treatment_of_department,肾上腺色腙片
烧伤脓毒症,Treatment_of_department,硫酸妥布霉素注射液
烧伤脓毒症,Treatment_of_department,康复新液
烧伤脓毒症,Treatment_of_department,湿润烧伤膏
颈椎椎体楔形压缩骨折,Treatment_of_department,云南白药胶囊
颈椎椎体楔形压缩骨折,Treatment_of_department,伤科接骨片
创伤性肩关节后脱位,Treatment_of_department,骨痛灵酊
创伤性肩关节后脱位,Treatment_of_department,骨康胶囊
复孔绦虫病,Treatment_of_department,烂积丸
持续性枕横位难产,Treatment_of_department,注射用盐酸罗哌卡因
史密斯骨折,Treatment_of_department,云南白药胶囊
史密斯骨折,Treatment_of_department,伤科接骨片
肩胛颈及肩胛盂骨折,Treatment_of_department,云南白药胶囊
肩胛颈及肩胛盂骨折,Treatment_of_department,伤科接骨片
持续性枕后位难产,Treatment_of_department,复方乌鳢口服液
持续性枕后位难产,Treatment_of_department,产妇康洗液
小肠扭转,Treatment_of_department,西沙必利片
螺菌病,Treatment_of_department,氯霉素片
螺菌病,Treatment_of_department,四环素片
老年休克,Treatment_of_department,参麦注射液
颈部勒伤,Treatment_of_department,活血止痛胶囊
颈部勒伤,Treatment_of_department,云南白药膏
出血性休克和脑病综合征,Treatment_of_department,人血白蛋白
出血性休克和脑病综合征,Treatment_of_department,吡拉西坦片
妊娠性哮喘,Treatment_of_department,门冬氨酸钾镁片
工业中毒所致的精神障碍,Treatment_of_department,注射用盐酸硫必利
工业中毒所致的精神障碍,Treatment_of_department,五氟利多片
工业中毒所致的精神障碍,Treatment_of_department,利培酮片
溴氯菊酯中毒,Treatment_of_department,注射用鼠神经生长因子
颠茄碱类植物药物中毒,Treatment_of_department,解毒止泻胶囊
颠茄碱类植物药物中毒,Treatment_of_department,秘诀清凉散
千足虫灼伤,Treatment_of_department,阿莫西林双氯西林钠胶囊
千足虫灼伤,Treatment_of_department,盐酸左氧氟沙星氯化钠注射液
小儿急性呼吸衰竭,Treatment_of_department,盐酸多沙普仑注射液
小儿急性呼吸衰竭,Treatment_of_department,注射用盐酸川芎嗪
医用药物中毒所致的精神障碍,Treatment_of_department,盐酸甲氯芬酯胶囊
医用药物中毒所致的精神障碍,Treatment_of_department,盐酸氯丙嗪片
非洲锥虫病,Treatment_of_department,脑蛋白水解物片
非洲锥虫病,Treatment_of_department,泼尼松
毒鱼刺伤,Treatment_of_department,注射用鼠神经生长因子
毒鱼刺伤,Treatment_of_department,注射用硫代硫酸钠
创伤性肩关节前脱位,Treatment_of_department,骨痛灵酊
创伤性肩关节前脱位,Treatment_of_department,骨康胶囊
外伤后脑膨出,Treatment_of_department,头孢氨苄
瑞列绦虫病,Treatment_of_department,烂积丸
士的宁中毒,Treatment_of_department,高锰酸钾
新疆出血热,Treatment_of_department,射干抗病毒注射液
新疆出血热,Treatment_of_department,重组人干扰素α1b注射液
小儿肺炎链球菌脑膜炎,Treatment_of_department,注射用头孢他啶
小儿肺炎链球菌脑膜炎,Treatment_of_department,头孢氨苄甲氧苄啶胶囊
小儿肺炎链球菌脑膜炎,Treatment_of_department,注射用头孢唑肟钠
高原适应不全症,Treatment_of_department,索罗玛宝颗粒
高原适应不全症,Treatment_of_department,氨茶碱片
高原适应不全症,Treatment_of_department,茴拉西坦颗粒
